Index	Text	POS Modified
19	boil	VVI
20	for	IF
21	to	II
22	minutes	NNT2
23	.	.
24	Plunge	VB
25	the	AT
26	eggs	NN2
27	in	II
28	cold	JJ
29	water	NN1
30	.	.
31	When	RRQ
32	eggs	NN2
33	are	VBP
34	cool	RR
35	enough	RR
36	,	,
37	remove	VB
38	their	APPGE
39	shells	NN2
40	and	CC
41	cut	VB
42	them	PPHO2
43	in	II
44	half	DB
45	lengthwise	JJ
46	to	TO
47	remove	VB
48	the	AT
49	yolk	NN1
50	.	.
51	Place	VB
52	the	AT
53	yolks	NN2
54	in	II
55	a	AT1
56	medium-size	JJ
57	mixing	VBG
58	bowl	NN1
59	and	CC
60	mash	VB
61	them	PPHO2
62	well	RR
63	.	.
64	Mix	VB
65	mustard	NN1
66	,	,
67	Worcestershire	NP1
68	sauce	NN1
69	,	,
70	hot	JJ
71	sauce	NN1
72	,	,
73	celery	NN1
74	salt	NN1
75	,	,
76	and	CC
77	softened	VBN
78	butter	NN1
79	into	II
80	the	AT
81	mixing	VBG
82	bowl	NN1
83	with	IW
84	the	AT
85	yolks	NN2
86	.	.
87	Blend	VV0
88	mixture	NN1
89	until	CS
90	smooth	JJ
91	.	.
92	Scoop	VB
93	mixture	NN1
94	into	II
95	the	AT
96	hollowed	VBN
97	portion	NN1
98	of	IO
99	the	AT
100	eggs	NN2
101	.	.
102	Refrigerate	VB
103	one	MC1
104	hour	NNT1
105	and	CC
106	serve	VB
107	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Lightly	RR
12	grease	VBP
13	a	AT1
14	large	JJ
15	baking	NN1
16	sheet	NN1
17	.	.
18	In	II
19	a	AT1
20	medium	JJ
21	bowl	NN1
22	,	,
23	mix	VB
24	together	RL
25	Italian	JJ
26	sausage	NN1
27	,	,
28	baking	VBG
29	mix	NN1
30	,	,
31	green	JJ
32	bell	NN1
33	pepper	NN1
34	,	,
35	yellow	JJ
36	onion	NN1
37	,	,
38	mozzarella	NN1
39	cheese	NN1
40	and	CC
41	pizza	NN1
42	sauce	NN1
43	.	.
44	Gradually	RR
45	stir	VB
46	in	II
47	water	NN1
48	until	CS
49	the	AT
50	mixture	NN1
51	is	VBZ
52	a	AT1
53	workable	JJ
54	consistency	NN1
55	.	.
56	Roll	VB
57	into	II
58	inch	NNU1
59	balls	NN2
60	.	.
61	Arrange	VB
62	pizza	NN1
63	balls	NN2
64	on	II
65	the	AT
66	baking	NN1
67	sheet	NN1
68	.	.
69	Bake	VB
70	in	II
71	the	AT
72	preheated	JJ
73	oven	NN1
74	minutes	NNT2
75	,	,
76	or	CC
77	until	CS
78	lightly	RR
79	browned	VBN
80	.	.
81	Serve	VB
82	hot	JJ
83	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Drizzle	NN1
12	about	II
13	/	FO
14	teaspoons	NN2
15	olive	JJ
16	oil	NN1
17	into	II
18	the	AT
19	bottom	NN1
20	of	IO
21	each	DD1
22	ounce	NNU1
23	ramekin	NN1
24	and	CC
25	sprinkle	VB
26	about	II
27	tablespoon	NN1
28	basil	NN1
29	per	II
30	ramekin	NN1
31	over	II
32	the	AT
33	oil	NN1
34	.	.
35	Place	VB
36	goat	NN1
37	cheese	NN1
38	piece	NN1
39	over	II
40	the	AT
41	basil	NN1
42	in	II
43	each	DD1
44	ramekin	NN1
45	;	;
46	surround	VB
47	with	IW
48	sliced	VBN
49	cherry	NN1
50	tomatoes	NN2
51	.	.
52	Top	NN1
53	with	IW
54	cracked	VBN
55	black	JJ
56	pepper	NN1
57	and	CC
58	cayenne	NN1
59	.	.
60	Spread	VV0
61	/	FO
62	teaspoon	NN1
63	of	IO
64	the	AT
65	remaining	VBG
66	basil	NN1
67	on	II31
68	top	II32
69	of	II33
70	each	DD1
71	portion	NN1
72	,	,
73	place	NN1
74	ramekins	VVZ
75	on	II
76	a	AT1
77	baking	NN1
78	sheet	NN1
79	,	,
80	and	CC
81	drizzle	VB
82	each	DD1
83	serving	VBG
84	with	IW
85	/	FO
86	teaspoons	NN2
87	more	RGR
88	olive	JJ
89	oil	NN1
90	.	.
91	Bake	VB
92	in	II
93	the	AT
94	preheated	JJ
95	oven	NN1
96	until	CS
97	bubbling	VBG
98	,	,
99	about	II
100	minutes	NNT2
101	.	.
102	Serve	VB
103	warm	JJ
104	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Place	VB
12	a	AT1
13	steamer	NN1
14	insert	NN1
15	into	II
16	a	AT1
17	saucepan	NN1
18	and	CC
19	fill	VB
20	with	IW
21	water	NN1
22	to	II
23	just	RR
24	below	II
25	the	AT
26	bottom	NN1
27	of	IO
28	the	AT
29	steamer	NN1
30	.	.
31	Bring	VB
32	water	NN1
33	to	II
34	a	AT1
35	boil	NN1
36	.	.
37	Add	VB
38	chicken	NN1
39	wings	NN2
40	,	,
41	put	VBD
42	lid	NN1
43	on	II
44	steamer	NN1
45	,	,
46	and	CC
47	steam	NN1
48	wings	NN2
49	until	CS
50	no	RR21
51	longer	RR22
52	pink	JJ
53	at	II
54	the	AT
55	bone	NN1
56	and	CC
57	the	AT
58	juices	NN2
59	run	VBP
60	clear	JJ
61	,	,
62	about	II
63	minutes	NNT2
64	.	.
65	An	AT1
66	instant-read	JJ
67	thermometer	NN1
68	inserted	VBN
69	near	II
70	the	AT
71	bone	NN1
72	should	VM
73	read	VB
74	degrees	NN2
75	F	ZZ1
76	(	(
77	degrees	NN2
78	C	ZZ1
79	)	)
80	.	.
81	Spread	VV0
82	chicken	NN1
83	wings	NN2
84	onto	II
85	a	AT1
86	platter	NN1
87	to	TO
88	cool	VB
89	;	;
90	pat	VB
91	dry	JJ
92	with	IW
93	paper	NN1
94	towel	NN1
95	.	.
96	Spread	VV0
97	wings	NN2
98	onto	II
99	a	AT1
100	rimmed	JJ
101	baking	NN1
102	sheet	NN1
103	;	;
104	season	NNT1
105	with	IW
106	salt	NN1
107	and	CC
108	pepper	NN1
109	.	.
110	Bake	VB
111	wings	NN2
112	in	II
113	preheated	JJ
114	oven	NN1
115	for	IF
116	minutes	NNT2
117	,	,
118	flip	VV0
119	,	,
120	and	CC
121	continue	VB
122	to	TO
123	bake	VB
124	until	CS
125	crispy	JJ
126	,	,
127	about	II
128	minutes	NNT2
129	more	RRR
130	.	.
131	Melt	VB
132	butter	NN1
133	in	II
134	a	AT1
135	saucepan	NN1
136	over	II
137	low	JJ
138	heat	NN1
139	.	.
140	Stir	VB
141	hot	JJ
142	sauce	NN1
143	,	,
144	brown	JJ
145	sugar	NN1
146	,	,
147	onion	NN1
148	powder	NN1
149	,	,
150	garlic	NN1
151	powder	NN1
152	,	,
153	and	CC
154	cayenne	NN1
155	pepper	NN1
156	into	II
157	the	AT
158	melted	VBN
159	butter	NN1
160	;	;
161	cook	VV0
162	,	,
163	stirring	VBG
164	occasionally	RR
165	,	,
166	until	CS
167	the	AT
168	seasonings	NN2
169	dissolve	VBP
170	into	II
171	the	AT
172	liquid	NN1
173	and	CC
174	the	AT
175	mixture	NN1
176	is	VBZ
177	hot	JJ
178	,	,
179	about	II
180	minutes	NNT2
181	.	.
182	Put	VB
183	wings	NN2
184	in	II
185	a	AT1
186	large	JJ
187	bowl	NN1
188	;	;
189	pour	VB
190	sauce	NN1
191	over	II
192	wings	NN2
193	and	CC
194	toss	VB
195	to	TO
196	coat	VVI
197	.	.
1	Preheat	VB
2	an	AT1
3	oven	NN1
4	to	II
5	degrees	NN2
6	F	ZZ1
7	(	(
8	degrees	NN2
9	C	ZZ1
10	)	)
11	.	.
12	Spray	VB
13	a	AT1
14	large	JJ
15	heavy	JJ
16	roasting	VBG
17	pan	NN1
18	with	IW
19	cooking	VVG
20	spray	NN1
21	.	.
22	Mix	VB
23	black	JJ
24	pepper	NN1
25	,	,
26	white	JJ
27	pepper	NN1
28	,	,
29	cayenne	NN1
30	pepper	NN1
31	,	,
32	paprika	NN1
33	,	,
34	and	CC
35	dried	VBN
36	thyme	NN1
37	in	II
38	a	AT1
39	small	JJ
40	bowl	NN1
41	.	.
42	Set	VB
43	aside	RL
44	.	.
45	Whisk	VB
46	egg	NN1
47	whites	NN2
48	in	II
49	a	AT1
50	large	JJ
51	bowl	NN1
52	until	CS
53	foamy	NN1
54	.	.
55	Add	VB
56	Worcestershire	NP1
57	,	,
58	hot	JJ
59	sauce	NN1
60	,	,
61	and	CC
62	liquid	JJ
63	smoke	NN1
64	flavoring	VVG
65	and	CC
66	whisk	VB
67	to	TO
68	mix	VVI
69	.	.
70	Drop	VV0
71	in	II
72	pecans	NN2
73	and	CC
74	stir	VV0
75	to	TO
76	coat	VVI
77	well	RR
78	.	.
79	Pour	VB
80	coated	VBN
81	pecans	NN2
82	into	II
83	a	AT1
84	colander	NN1
85	to	TO
86	drain	VB
87	off	RP
88	extra	JJ
89	egg	NN1
90	white	JJ
91	mixture	NN1
92	;	;
93	return	VV0
94	to	TO
95	bowl	VVI
96	and	CC
97	add	VB
98	the	AT
99	pepper	NN1
100	mixture	NN1
101	.	.
102	Stir	VB
103	well	RR
104	to	TO
105	coat	VVI
106	each	DD1
107	pecan	NN1
108	with	IW
109	spices	NN2
110	.	.
111	Spread	VV0
112	pecans	NN2
113	in	II
114	prepared	JJ
115	roasting	VBG
116	pan	NN1
117	.	.
118	Roast	VB
119	in	II
120	preheated	JJ
121	oven	NN1
122	for	IF
123	minutes	NNT2
124	and	CC
125	stir	VV0
126	pecans	NN2
127	;	;
128	roast	VB
129	an	AT1
130	additional	JJ
131	minutes	NNT2
132	and	CC
133	stir	VB
134	again	RT
135	.	.
136	Turn	VB
137	off	RP
138	heat	NN1
139	and	CC
140	roast	JJ
141	pecans	VBZ
142	an	AT1
143	additional	JJ
144	to	II
145	minutes	NNT2
146	until	CS
147	pecans	NN2
148	are	VBP
149	lightly	RR
150	browned	VBN
151	and	CC
152	fragrant	JJ
153	.	.
154	Let	VB
155	cool	JJ
156	and	CC
157	serve	VB
158	at	II
159	room	NN1
160	temperature	NN1
161	.	.
1	In	II
2	a	AT1
3	medium	JJ
4	bowl	NN1
5	,	,
6	mix	VV0
7	ground	NN1
8	beef	NN1
9	,	,
10	onion	NN1
11	and	CC
12	seasoned	JJ
13	bread	NN1
14	crumbs	NN2
15	.	.
16	Form	VV0
17	the	AT
18	mixture	NN1
19	into	II
20	bite-sized	JJ
21	balls	NN2
22	.	.
23	In	II
24	a	AT1
25	large	JJ
26	skillet	NN1
27	over	II
28	medium	JJ
29	high	JJ
30	heat	NN1
31	,	,
32	cook	VB
33	the	AT
34	balls	NN2
35	until	CS
36	evenly	RR
37	brown	JJ
38	throughout	RL
39	.	.
40	In	II
41	a	AT1
42	large	JJ
43	bowl	NN1
44	,	,
45	mix	VV0
46	water	NN1
47	,	,
48	soy	JJ
49	sauce	NN1
50	,	,
51	garlic	NN1
52	and	CC
53	whiskey	NN1
54	.	.
55	Place	VB
56	the	AT
57	balls	NN2
58	into	II
59	the	AT
60	mixture	NN1
61	.	.
62	Cover	VV0
63	and	CC
64	chill	NN1
65	in	II
66	the	AT
67	refrigerator	NN1
68	at	RR21
69	least	RR22
70	hour	NNT1
71	.	.
72	Transfer	VV0
73	the	AT
74	balls	NN2
75	and	CC
76	sauce	NN1
77	mixture	NN1
78	to	II
79	a	AT1
80	slow	JJ
81	cooker	NN1
82	set	VBN
83	to	II
84	low	JJ
85	heat	NN1
86	.	.
87	Cook	VB
88	at	RR21
89	least	RR22
90	minutes	NNT2
91	before	II
92	serving	VBG
93	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Spray	VB
12	a	AT1
13	large	JJ
14	roasting	VBG
15	pan	NN1
16	with	IW
17	non-stick	JJ
18	cooking	NN1
19	spray	NN1
20	.	.
21	In	II
22	a	AT1
23	medium-size	JJ
24	microwave	NN1
25	safe	JJ
26	bowl	NN1
27	,	,
28	mix	VV0
29	butter	NN1
30	,	,
31	white	JJ
32	corn	NN1
33	syrup	NN1
34	and	CC
35	brown	JJ
36	sugar	NN1
37	.	.
38	Place	VB
39	the	AT
40	mixture	NN1
41	in	II
42	the	AT
43	microwave	NN1
44	and	CC
45	cook	VB
46	minutes	NNT2
47	,	,
48	or	CC
49	until	CS
50	butter	NN1
51	melts	VBZ
52	.	.
53	Place	VB
54	the	AT
55	cereal	NN1
56	,	,
57	pecans	NN2
58	and	CC
59	almonds	NN2
60	into	II
61	the	AT
62	prepared	JJ
63	roasting	VBG
64	pan	NN1
65	.	.
66	Pour	VB
67	the	AT
68	melted	VBN
69	butter	NN1
70	mixture	NN1
71	over	II
72	the	AT
73	cereal	NN1
74	and	CC
75	nuts	NN2
76	and	CC
77	mix	VV0
78	gently	RR
79	until	CS
80	the	AT
81	cereal	NN1
82	and	CC
83	nuts	NN2
84	are	VBP
85	coated	VBN
86	.	.
87	Bake	VB
88	for	IF
89	hour	NNT1
90	,	,
91	stirring	VBG
92	every	AT1
93	minutes	NNT2
94	.	.
95	As	II
96	the	AT
97	snack	NN1
98	mix	NN1
99	is	VBZ
100	cooling	VBG
101	,	,
102	be	VB
103	sure	JJ
104	to	TO
105	continue	VB
106	to	TO
107	stir	VB
108	so	CS21
109	that	CS22
110	the	AT
111	mix	NN1
112	will	VM
113	not	XX
114	harden	VB
115	in	II
116	one	MC1
117	big	JJ
118	lump	NN1
119	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	In	II
12	a	AT1
13	large	JJ
14	bowl	NN1
15	,	,
16	toss	VB
17	together	RL
18	/	FO
19	cup	NN1
20	breadcrumbs	NN2
21	,	,
22	crab	NN1
23	,	,
24	shrimp	NN1
25	,	,
26	green	JJ
27	onions	NN2
28	,	,
29	celery	NN1
30	,	,
31	mayonnaise	VV0
32	,	,
33	Worcestershire	NP1
34	sauce	NN1
35	and	CC
36	parsley	NN1
37	.	.
38	Mix	VB
39	well	RR
40	,	,
41	and	CC
42	spoon	NN1
43	mixture	NN1
44	into	II
45	clean	JJ
46	,	,
47	dry	JJ
48	seafood	NN1
49	shells	NN2
50	or	CC
51	ramekins	NN2
52	.	.
53	Place	VB
54	stuffed	VBN
55	shells	NN2
56	on	II
57	a	AT1
58	foil-lined	JJ
59	cookie	NN1
60	sheet	NN1
61	,	,
62	and	CC
63	sprinkle	VB
64	with	IW
65	remaining	VBG
66	/	FO
67	cup	NN1
68	bread	NN1
69	crumbs	NN2
70	.	.
71	Bake	VB
72	in	II
73	the	AT
74	preheated	JJ
75	oven	NN1
76	for	IF
77	minutes	NNT2
78	.	.
1	Bring	VB
2	a	AT1
3	large	JJ
4	pot	NN1
5	of	IO
6	lightly	RR
7	salted	VBN
8	water	NN1
9	to	II
10	a	AT1
11	boil	NN1
12	.	.
13	Place	VB
14	pasta	NN1
15	in	II
16	boiling	VBG
17	water	NN1
18	and	CC
19	cook	VB
20	for	IF
21	to	II
22	minutes	NNT2
23	or	CC
24	until	CS
25	al	RR21
26	dente	RR22
27	.	.
28	Drain	VV0
29	,	,
30	and	CC
31	cut	VBD
32	into	II
33	inch	NNU1
34	pieces	NN2
35	.	.
36	In	II
37	a	AT1
38	mixing	VBG
39	bowl	NN1
40	,	,
41	combine	VB
42	crab	NN1
43	,	,
44	noodles	NN2
45	,	,
46	eggs	NN2
47	,	,
48	green	JJ
49	onion	NN1
50	,	,
51	bread	NN1
52	crumbs	NN2
53	,	,
54	cilantro	NN1
55	,	,
56	olive	JJ
57	oil	NN1
58	and	CC
59	salt	NN1
60	and	CC
61	pepper	NN1
62	.	.
63	Mix	VB
64	thoroughly	RR
65	.	.
66	On	II
67	wax	NN1
68	paper	NN1
69	,	,
70	divide	VBP
71	mixture	NN1
72	into	II
73	equal	JJ
74	piles	NN2
75	;	;
76	form	VB
77	each	DD1
78	pile	NN1
79	into	II
80	a	AT1
81	patty	NN1
82	.	.
83	Make	VB
84	sure	JJ
85	noodles	NN2
86	are	VBP
87	incorporated	VBN
88	and	CC
89	are	VBP
90	not	XX
91	sticking	VBG
92	out	RP
93	.	.
94	In	II
95	a	AT1
96	medium	JJ
97	skillet	NN1
98	,	,
99	heat	NN1
100	vegetable	NN1
101	oil	NN1
102	and	CC
103	cook	VB
104	patties	NN2
105	over	II
106	medium	JJ
107	heat	NN1
108	for	IF
109	minutes	NNT2
110	on	II
111	each	DD1
112	side	NN1
113	until	CS
114	golden	JJ
115	.	.
116	Drain	VB
117	on	II
118	paper	NN1
119	towels	NN2
120	.	.
121	Serve	VB
122	with	IW
123	cilantro-lime	JJ
124	mayonnaise	NN1
125	.	.
126	For	IF
127	the	AT
128	cilantro-lime	JJ
129	mayonnaise	NN1
130	,	,
131	mix	VV0
132	mayonnaise	NN1
133	,	,
134	tablespoon	NN1
135	cilantro	NN1
136	,	,
137	lime	NN1
138	zest	NN1
139	and	CC
140	lime	NN1
141	juice	NN1
142	in	II
143	a	AT1
144	small	JJ
145	mixing	VBG
146	bowl	NN1
147	.	.
148	Mix	VB
149	thoroughly	RR
150	.	.
151	Chill	NN1
152	until	CS
153	ready	JJ
154	to	TO
155	serve	VB
156	.	.
1	In	II
2	a	AT1
3	medium	JJ
4	saucepan	NN1
5	over	II
6	medium	JJ
7	heat	NN1
8	,	,
9	mix	VV0
10	refried	JJ
11	beans	NN2
12	,	,
13	taco	NN1
14	seasoning	NN1
15	mix	NN1
16	and	CC
17	tomato	NN1
18	.	.
19	Allow	VB
20	the	AT
21	mixture	NN1
22	to	TO
23	simmer	VB
24	approximately	RR
25	minutes	NNT2
26	,	,
27	stirring	VBG
28	occasionally	RR
29	.	.
30	Spoon	VB
31	the	AT
32	mixture	NN1
33	into	II
34	a	AT1
35	medium	JJ
36	serving	VBG
37	bowl	NN1
38	.	.
39	Top	NN1
40	with	IW
41	Cheddar	NP1
42	cheese	NN1
43	and	CC
44	serve	VB
45	warm	JJ
46	.	.
1	Place	VB
2	the	AT
3	eggs	NN2
4	in	II
5	a	AT1
6	saucepan	NN1
7	in	II
8	a	AT1
9	single	JJ
10	layer	NN1
11	with	IW
12	enough	DD
13	water	NN1
14	to	TO
15	cover	VB
16	by	II
17	inch	NNU1
18	.	.
19	Cover	VB
20	the	AT
21	saucepan	NN1
22	and	CC
23	bring	VB
24	the	AT
25	water	NN1
26	to	II
27	a	AT1
28	boil	NN1
29	over	II
30	high	JJ
31	heat	NN1
32	.	.
33	Once	CS
34	the	AT
35	water	NN1
36	is	VBZ
37	boiling	VBG
38	,	,
39	remove	VB
40	from	II
41	the	AT
42	heat	NN1
43	and	CC
44	let	VB
45	the	AT
46	eggs	NN2
47	stand	VBP
48	in	II
49	the	AT
50	hot	JJ
51	water	NN1
52	for	IF
53	minutes	NNT2
54	.	.
55	Pour	VB
56	out	RP
57	the	AT
58	hot	JJ
59	water	NN1
60	,	,
61	then	RT
62	cool	VB
63	the	AT
64	eggs	NN2
65	under	II
66	cold	JJ
67	running	JJ
68	water	NN1
69	.	.
70	Peel	VV0
71	once	RR
72	cold	JJ
73	.	.
74	Dry	VV0
75	the	AT
76	eggs	NN2
77	thoroughly	RR
78	with	IW
79	paper	NN1
80	towels	NN2
81	,	,
82	and	CC
83	slice	VB
84	them	PPHO2
85	in	II
86	half	DB
87	lengthwise	JJ
88	.	.
89	Remove	VB
90	the	AT
91	yolks	NN2
92	,	,
93	and	CC
94	place	VV0
95	in	II
96	a	AT1
97	bowl	NN1
98	.	.
99	Mash	VV0
100	the	AT
101	yolks	NN2
102	with	IW
103	a	AT1
104	fork	NN1
105	,	,
106	and	CC
107	stir	VV0
108	in	II
109	the	AT
110	sugar	NN1
111	,	,
112	salt	NN1
113	,	,
114	onion	NN1
115	powder	NN1
116	,	,
117	garlic	NN1
118	powder	NN1
119	,	,
120	and	CC
121	white	JJ
122	pepper	NN1
123	.	.
124	Add	VB
125	the	AT
126	mustard	NN1
127	,	,
128	mayonnaise	VV0
129	,	,
130	salad	NN1
131	dressing	VVG
132	,	,
133	and	CC
134	vinegar	NN1
135	,	,
136	one	PN1
137	at	II
138	a	AT1
139	time	NNT1
140	,	,
141	stirring	VBG
142	to	TO
143	incorporate	VB
144	each	DD1
145	ingredient	NN1
146	before	II
147	adding	VBG
148	the	AT
149	next	MD
150	.	.
151	Mound	NN1
152	a	AT1
153	heaping	VBG
154	teaspoonful	NN1
155	of	IO
156	the	AT
157	yolk	NN1
158	mixture	NN1
159	into	II
160	the	AT
161	cavity	NN1
162	of	IO
163	each	DD1
164	egg	NN1
165	half	NN1
166	,	,
167	and	CC
168	sprinkle	VB
169	with	IW
170	paprika	NN1
171	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Spray	VB
12	a	AT1
13	x-inch	NNU1
14	baking	NN1
15	dish	NN1
16	with	IW
17	non-stick	JJ
18	cooking	NN1
19	spray	NN1
20	.	.
21	Place	VB
22	the	AT
23	cauliflower	NN1
24	in	II
25	a	AT1
26	large	JJ
27	mixing	VBG
28	bowl	NN1
29	.	.
30	Toss	VB
31	with	IW
32	the	AT
33	olive	JJ
34	oil	NN1
35	and	CC
36	garlic	NN1
37	powder	NN1
38	until	CS
39	thoroughly	RR
40	distributed	VBN
41	.	.
42	Transfer	VV0
43	the	AT
44	cauliflower	NN1
45	mixture	NN1
46	to	II
47	prepared	JJ
48	baking	NN1
49	dish	NN1
50	.	.
51	Bake	VB
52	in	II
53	preheated	JJ
54	oven	NN1
55	minutes	NNT2
56	.	.
57	Top	NN1
58	with	IW
59	shredded	JJ
60	cheese	NN1
61	and	CC
62	bake	VB
63	until	CS
64	the	AT
65	cheese	NN1
66	has	VBZ
67	melted	VBN
68	,	,
69	about	II
70	more	DAR
71	minutes	NNT2
72	.	.
73	Top	JJ
74	cheesy	JJ
75	florets	NN2
76	with	IW
77	sriracha	NN1
78	sauce	NN1
79	to	TO
80	taste	VB
81	and	CC
82	garnish	VB
83	with	IW
84	green	JJ
85	onions	NN2
86	.	.
87	Serve	VB
88	with	IW
89	a	AT1
90	cold	JJ
91	glass	NN1
92	of	IO
93	milk	NN1
94	.	.
1	Preheat	VB
2	an	AT1
3	oven	NN1
4	to	II
5	degrees	NN2
6	F	ZZ1
7	(	(
8	degrees	NN2
9	C	ZZ1
10	)	)
11	.	.
12	Line	VV0
13	a	AT1
14	non	FU
15	insulated	JJ
16	cookie	NN1
17	sheet	NN1
18	with	IW
19	parchment	NN1
20	paper	NN1
21	.	.
22	With	IW
23	a	AT1
24	knife	NN1
25	or	CC
26	kitchen	NN1
27	shears	NN2
28	carefully	RR
29	remove	VB
30	the	AT
31	leaves	NN2
32	from	II
33	the	AT
34	thick	JJ
35	stems	VBZ
36	and	CC
37	tear	VB
38	into	II
39	bite	NN1
40	size	NN1
41	pieces	NN2
42	.	.
43	Wash	VB
44	and	CC
45	thoroughly	RR
46	dry	JJ
47	kale	NN1
48	with	IW
49	a	AT1
50	salad	NN1
51	spinner	NN1
52	.	.
53	Drizzle	NN1
54	kale	NN1
55	with	IW
56	olive	JJ
57	oil	NN1
58	and	CC
59	sprinkle	VB
60	with	IW
61	seasoning	NN1
62	salt	NN1
63	.	.
64	Bake	VB
65	until	CS
66	the	AT
67	edges	NN2
68	brown	JJ
69	but	CCB
70	are	VBP
71	not	XX
72	burnt	VBN
73	,	,
74	to	II
75	minutes	NNT2
76	.	.
1	Stir	VB
2	pork	NN1
3	shoulder	NN1
4	,	,
5	livers	NN2
6	,	,
7	onion	NN1
8	,	,
9	celery	NN1
10	,	,
11	poblano	NN1
12	pepper	NN1
13	,	,
14	jalapeno	NN1
15	pepper	NN1
16	,	,
17	garlic	NN1
18	,	,
19	kosher	JJ
20	salt	NN1
21	,	,
22	/	FO
23	tablespoons	NN2
24	ground	VVD
25	black	JJ
26	pepper	NN1
27	,	,
28	chili	NN1
29	powder	NN1
30	,	,
31	and	CC
32	teaspoon	NN1
33	cayenne	NN1
34	pepper	NN1
35	together	RL
36	in	II
37	a	AT1
38	large	JJ
39	pot	NN1
40	.	.
41	Cover	VB
42	the	AT
43	pot	NN1
44	with	IW
45	a	AT1
46	lid	NN1
47	and	CC
48	refrigerate	VB
49	until	CS
50	flavors	NN2
51	combine	VBP
52	,	,
53	hours	NNT2
54	to	II
55	overnight	RT
56	.	.
57	Pour	VB
58	enough	DD
59	water	NN1
60	into	II
61	the	AT
62	pork	NN1
63	mixture	NN1
64	to	TO
65	cover	VB
66	by	II
67	inches	NNU2
68	;	;
69	bring	VB
70	to	II
71	a	AT1
72	boil	NN1
73	,	,
74	reduce	VB
75	heat	NN1
76	to	II
77	low	JJ
78	,	,
79	and	CC
80	simmer	VBP
81	until	CS
82	meat	NN1
83	is	VBZ
84	tender	JJ
85	,	,
86	about	II
87	/	FO
88	hours	NNT2
89	.	.
90	Remove	VB
91	from	II
92	heat	NN1
93	.	.
94	Pour	VB
95	mixture	NN1
96	through	II
97	a	AT1
98	strainer	NN1
99	,	,
100	reserving	VBG
101	strained	JJ
102	liquid	NN1
103	and	CC
104	meat	NN1
105	separately	RR
106	.	.
107	Transfer	VV0
108	drained	VBN
109	meat	NN1
110	mixture	NN1
111	to	II
112	a	AT1
113	cutting	JJ
114	board	NN1
115	and	CC
116	finely	RR
117	chop	VB
118	.	.
119	Stir	VB
120	chopped	VBN
121	meat	NN1
122	,	,
123	rice	NN1
124	,	,
125	parsley	NN1
126	,	,
127	and	CC
128	green	JJ
129	onion	NN1
130	together	RL
131	in	II
132	a	AT1
133	bowl	NN1
134	.	.
135	Gradually	RR
136	add	VB
137	reserved	JJ
138	cooking	NN1
139	liquid	NN1
140	,	,
141	ladleful	NN1
142	at	II
143	a	AT1
144	time	NNT1
145	,	,
146	to	II
147	meat	NN1
148	mixture	NN1
149	,	,
150	stirring	VBG
151	until	CS
152	completely	RR
153	incorporated	VBN
154	between	II
155	each	DD1
156	addition	NN1
157	,	,
158	until	CS
159	mixture	NN1
160	has	VBZ
161	a	AT1
162	paste-like	JJ
163	consistency	NN1
164	.	.
165	Cover	VB
166	the	AT
167	bowl	NN1
168	with	IW
169	plastic	NN1
170	wrap	NN1
171	and	CC
172	refrigerate	VB
173	until	CS
174	chilled	VVN
175	,	,
176	at	RR21
177	least	RR22
178	hours	NNT2
179	to	II
180	overnight	RT
181	.	.
182	Heat	VB
183	oil	NN1
184	in	II
185	a	AT1
186	deep-fryer	NN1
187	or	CC
188	large	JJ
189	saucepan	NN1
190	to	II
191	degrees	NN2
192	F	ZZ1
193	(	(
194	degrees	NN2
195	C	ZZ1
196	)	)
197	.	.
198	Roll	VB
199	chilled	JJ
200	meat	NN1
201	mixture	NN1
202	into	II
203	inch	NNU1
204	balls	NN2
205	.	.
206	Whisk	VB
207	flour	NN1
208	,	,
209	pinch	NN1
210	cayenne	NN1
211	pepper	NN1
212	,	,
213	salt	NN1
214	,	,
215	and	CC
216	black	JJ
217	pepper	NN1
218	together	RL
219	in	II
220	a	AT1
221	shallow	JJ
222	bowl	NN1
223	.	.
224	Pour	VB
225	breadcrumbs	NN2
226	into	II
227	another	DD1
228	shallow	JJ
229	bowl	NN1
230	.	.
231	Beat	VV0
232	eggs	NN2
233	in	II
234	another	DD1
235	shallow	JJ
236	bowl	NN1
237	.	.
