Index	Text	Lemma	POS	Semantics
112	pecans	pecan	NN2	['T1.3']
113	in	in	II	['Z5']
114	prepared	prepared	JJ	['X7+', 'O4.1']
115	roasting	roasting	VBG	['F1', 'O4.6+', 'Q2.2']
116	pan	pan	NN1	['O2']
117	.	.	.	['PUNCT']
118	Roast	Roast	VB	['F1', 'O4.6+']
119	in	in	II	['Z5']
120	preheated	preheat	JJ	['N4/O4.6+']
121	oven	oven	NN1	['O2/F1']
122	for	for	IF	['Z5']
123	minutes	minute	NNT2	['T1.3', 'Q1.2']
124	and	and	CC	['Z5']
125	stir	stir	VV0	['A1.1.1', 'M1']
126	pecans	pecan	NN2	['Z99']
127	;	;	;	['PUNCT']
128	roast	roast	VB	['F1', 'O4.6+']
129	an	an	AT1	['Z5']
130	additional	additional	JJ	['N5++']
131	minutes	minute	NNT2	['T1.3', 'Q1.2']
132	and	and	CC	['Z5']
133	stir	stir	VB	['A1.1.1', 'M1']
134	again	again	RT	['N6+', 'Z4']
135	.	.	.	['PUNCT']
136	Turn	turn	VB	['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']
137	off	off	RP	['Z5', 'E2-']
138	heat	heat	NN1	['T1.3']
139	and	and	CC	['T1.3']
140	roast	roast	JJ	['T1.3']
141	pecans	pecans	VBZ	['Z99']
142	an	an	AT1	['Z5']
143	additional	additional	JJ	['N5++']
144	to	to	II	['Z5']
145	minutes	minute	NNT2	['T1.3', 'Q1.2']
146	until	until	CS	['Z5']
147	pecans	pecan	NN2	['Z99']
148	are	be	VBP	['A3+', 'Z5']
149	lightly	lightly	RR	['N6-', 'N3.5-', 'E3+', 'N5-', 'A12+']
150	browned	brown	VBN	['O4.3']
151	and	and	CC	['Z5']
152	fragrant	fragrant	JJ	['X3.5', 'O4.2+']
153	.	.	.	['PUNCT']
154	Let	let	VB	['S7.4+', 'I2.2/H1', 'T2-']
155	cool	cool	JJ	['O4.6-', 'S1.2.1-', 'O4.2+', 'E6+']
156	and	and	CC	['Z5']
157	serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
158	at	at	II	['Z5']
159	room	room	NN1	['H2', 'N3.6']
160	temperature	temperature	NN1	['O4.6']
161	.	.	.	['PUNCT']
1	In	in	II	['Z5']
2	a	a	AT1	['Z5']
3	medium	medium	JJ	['N3.2', 'N3.1']
4	bowl	bowl	NN1	['O2']
5	,	,	,	['PUNCT']
6	mix	mix	VV0	['A2.1+', 'S1.1.3+', 'K3']
7	ground	ground	NN1	['M6', 'W3', 'M7', 'O3', 'X2.1']
8	beef	beef	NN1	['F1']
9	,	,	,	['PUNCT']
10	onion	onion	NN1	['F1']
11	and	and	CC	['Z5']
12	seasoned	seasoned	JJ	['T3+/A2.1', 'X9.1+', 'F1']
13	bread	bread	NN1	['F1']
14	crumbs	crumb	NN2	['F1']
15	.	.	.	['PUNCT']
16	Form	form	VV0	['T2+', 'A2.1+', 'A1.8+', 'A3+', 'A1.1.1']
17	the	the	AT	['Z5']
18	mixture	mixture	NN1	['O1.1', 'A6.3+']
19	into	into	II	['Z5']
20	bite-sized	bite sized	JJ	['B1', 'F1', 'X3.1', 'N5+', 'N3.2', 'N5', 'N3.1']
23	balls	ball	NN2	['O2/O4.4', 'K5.1', 'B1', 'K1']
24	.	.	.	['PUNCT']
25	In	in	II	['Z5']
26	a	a	AT1	['Z5']
27	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
28	skillet	skillet	NN1	['Z99']
29	over	over	II	['Z5']
30	medium	medium	JJ	['N3.2', 'N3.1']
31	high	high	JJ	['N3.7+', 'N5+', 'A11.1+', 'S7.1+', 'A5.1+', 'T3-', 'X3.2', 'G2.2+', 'E4.1+', 'I1.3+', 'F3', 'O4.2-', 'O4.6+', 'S9']
32	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
33	,	,	,	['PUNCT']
34	cook	cook	VB	['F1']
35	the	the	AT	['Z5']
36	balls	ball	NN2	['O2/O4.4', 'K5.1', 'B1', 'K1']
37	until	until	CS	['Z5']
38	evenly	evenly	RR	['N6+', 'A6.1+']
39	brown	brown	JJ	['O4.3']
40	throughout	throughout	RL	['N5.1+', 'M6']
41	.	.	.	['PUNCT']
42	In	in	II	['Z5']
43	a	a	AT1	['Z5']
44	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
45	bowl	bowl	NN1	['O2']
46	,	,	,	['PUNCT']
47	mix	mix	VV0	['O1.1', 'A6.3+', 'S1.1.3+']
48	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
49	,	,	,	['PUNCT']
50	soy	soy	JJ	['F1']
51	sauce	sauce	NN1	['F1']
52	,	,	,	['PUNCT']
53	garlic	garlic	NN1	['T1.3']
54	and	and	CC	['T1.3']
55	whiskey	whiskey	NN1	['T1.3']
56	.	.	.	['PUNCT']
57	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
58	the	the	AT	['Z5']
59	balls	ball	NN2	['O2/O4.4', 'K5.1', 'B1', 'K1']
60	into	into	II	['Z5']
61	the	the	AT	['Z5']
62	mixture	mixture	NN1	['O1.1', 'A6.3+']
63	.	.	.	['PUNCT']
64	Cover	cover	VV0	['T1.3']
65	and	and	CC	['T1.3']
66	chill	chill	NN1	['T1.3']
67	in	in	II	['Z5']
68	the	the	AT	['Z5']
69	refrigerator	refrigerator	NN1	['O4.6-/O3']
70	at	at	RR21	['Z5']
71	least	least	RR22	['N5.1-', 'A11.1---']
72	hour	hour	NNT1	['T1.3']
73	.	.	.	['PUNCT']
74	Transfer	transfer	VV0	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5']
75	the	the	AT	['Z5']
76	balls	ball	NN2	['O2/O4.4', 'K5.1', 'B1', 'K1']
77	and	and	CC	['Z5']
78	sauce	sauce	NN1	['S1.2.4-']
79	mixture	mixture	NN1	['O1.1', 'A6.3+']
80	to	to	II	['Z5']
81	a	a	AT1	['Z5']
82	slow	slow	JJ	['N3.8-', 'T1.3+', 'X9.1-', 'A5.3-/T1']
83	cooker	cooker	NN1	['O2/F1']
84	set	set	VBN	['M2', 'M6', 'O4.5', 'O4.1', 'W4', 'A1.1.1', 'B3', 'B4', 'X6+', 'S6+', 'K2', 'Q4.3']
85	to	to	II	['Z5']
86	low	low	JJ	['N3.7-', 'N5-', 'A5.1-', 'A11.1-', 'E4.1-', 'X3.2-', 'G2.2-', 'S7.1-']
87	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
88	.	.	.	['PUNCT']
89	Cook	cook	VB	['F1']
90	at	at	RR21	['Z5']
91	least	least	RR22	['N5.1-', 'A11.1---']
92	minutes	minute	NNT2	['T1.3', 'Q1.2']
93	before	before	II	['Z5']
94	serving	serve	VBG	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
95	.	.	.	['PUNCT']
1	Preheat	preheat	VV0	['Z99']
2	oven	oven	NN1	['O2/F1']
3	to	to	II	['Z5']
4	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	ZZ1	['Z5']
6	(	(	(	['PUNCT']
7	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	)	['PUNCT']
10	.	.	.	['PUNCT']
11	Spray	spray	VB	['A1.1.1']
12	a	a	AT1	['Z5']
13	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
14	roasting	roasting	VBG	['F1', 'O4.6+', 'Q2.2']
15	pan	pan	NN1	['O2']
16	with	with	IW	['Z5']
17	non-stick	non stick	JJ	['Z6', 'M2', 'A1.1.1', 'A1.7+', 'A2.1-', 'T2++', 'E2+', 'A9+%']
20	cooking	cooking	NN1	['F1']
21	spray	spray	NN1	['A1.1.1', 'O2', 'N5', 'B3']
22	.	.	.	['PUNCT']
23	In	in	II	['Z5']
24	a	a	AT1	['Z5']
25	medium-size	medium size	JJ	['N3.2', 'N3.1', 'N3.2', 'N5', 'N3.1', 'O4.1']
28	microwave	microwave	NN1	['O3/F1', 'Y1']
29	safe	safe	JJ	['A15+', 'A7+']
30	bowl	bowl	NN1	['O2']
31	,	,	,	['PUNCT']
32	mix	mix	VV0	['O1.1', 'A6.3+', 'S1.1.3+']
33	butter	butter	NN1	['F1']
34	,	,	,	['PUNCT']
35	white	white	JJ	['O4.3', 'G2.2+']
36	corn	corn	NN1	['F1', 'B2-']
37	syrup	syrup	NN1	['O1.2']
38	and	and	CC	['Z5']
39	brown	brown	JJ	['F1']
40	sugar	sugar	NN1	['F1']
41	.	.	.	['PUNCT']
42	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
43	the	the	AT	['Z5']
44	mixture	mixture	NN1	['O1.1', 'A6.3+']
45	in	in	II	['Z5']
46	the	the	AT	['Z5']
47	microwave	microwave	NN1	['O3/F1', 'Y1']
48	and	and	CC	['Z5']
49	cook	cook	VB	['F1']
50	minutes	minute	NNT2	['T1.3', 'Q1.2']
51	,	,	,	['PUNCT']
52	or	or	CC	['Z5']
53	until	until	CS	['Z5']
54	butter	butter	NN1	['F1']
55	melts	melt	VBZ	['O4.6+']
56	.	.	.	['PUNCT']
57	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
58	the	the	AT	['Z5']
59	cereal	cereal	NN1	['F1', 'L3']
60	,	,	,	['PUNCT']
61	pecans	pecan	NN2	['T1.3']
62	and	and	CC	['T1.3']
63	almonds	almond	NN2	['T1.3']
64	into	into	II	['Z5']
65	the	the	AT	['Z5']
66	prepared	prepared	JJ	['X7+', 'O4.1']
67	roasting	roasting	VBG	['F1', 'O4.6+', 'Q2.2']
68	pan	pan	NN1	['O2']
69	.	.	.	['PUNCT']
70	Pour	pour	VB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
71	the	the	AT	['Z5']
72	melted	melted	VBN	['O4.6+']
73	butter	butter	NN1	['F1']
74	mixture	mixture	NN1	['O1.1', 'A6.3+']
75	over	over	II	['Z5']
76	the	the	AT	['Z5']
77	cereal	cereal	NN1	['T1.3']
78	and	and	CC	['T1.3']
79	nuts	nut	NN2	['T1.3']
80	and	and	CC	['Z5']
81	mix	mix	VV0	['A2.1+', 'S1.1.3+', 'K3']
82	gently	gently	RR	['E3+']
83	until	until	CS	['Z5']
84	the	the	AT	['Z5']
85	cereal	cereal	NN1	['T1.3']
86	and	and	CC	['T1.3']
87	nuts	nut	NN2	['T1.3']
88	are	be	VBP	['A3+', 'Z5']
89	coated	coat	VBN	['A1.1.1/A10-']
90	.	.	.	['PUNCT']
91	Bake	Bake	VB	['F1', 'O4.6']
92	for	for	IF	['Z5']
93	hour	hour	NNT1	['T1.3']
94	,	,	,	['PUNCT']
95	stirring	stir	VBG	['A1.1.1', 'M1']
96	every	every	AT1	['N5.1+']
97	minutes	minute	NNT2	['T1.3', 'Q1.2']
98	.	.	.	['PUNCT']
99	As	as	II	['Z5']
100	the	the	AT	['Z5']
101	snack	snack	NN1	['F1']
102	mix	mix	NN1	['O1.1', 'A6.3+', 'S1.1.3+']
103	is	be	VBZ	['A3+', 'Z5']
104	cooling	cool	VBG	['O4.6-/A2.1', 'X5.2-/A2.1']
105	,	,	,	['PUNCT']
106	be	be	VB	['A3+', 'Z5']
107	sure	sure	JJ	['A7+', 'Z4']
108	to	to	TO	['Z5']
109	continue	continue	VB	['T2++']
110	to	to	TO	['Z5']
111	stir	stir	VB	['A1.1.1', 'M1']
112	so	so	CS21	['Z5']
113	that	that	CS22	['Z5']
114	the	the	AT	['Z5']
115	mix	mix	NN1	['O1.1', 'A6.3+', 'S1.1.3+']
116	will	will	VM	['T1.1.3']
117	not	not	XX	['Z6']
118	harden	harden	VB	['O4.5/A2.1']
119	in	in	II	['Z5']
120	one	one	MC1	['N1']
121	big	big	JJ	['N1']
122	lump	lump	NN1	['O4.4']
123	.	.	.	['PUNCT']
1	Preheat	preheat	VV0	['Z99']
2	oven	oven	NN1	['O2/F1']
3	to	to	II	['Z5']
4	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	ZZ1	['Z5']
6	(	(	(	['PUNCT']
7	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	)	['PUNCT']
10	.	.	.	['PUNCT']
11	In	in	II	['Z5']
12	a	a	AT1	['Z5']
13	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
14	bowl	bowl	NN1	['O2']
15	,	,	,	['PUNCT']
16	toss	toss	VB	['M2', 'F1', 'M1']
17	together	together	RL	['S5+', 'T1.1.2', 'M6']
18	/	/	FO	['Z99']
19	cup	cup	NN1	['O2', 'S7.3+', 'A5.1+/O2']
20	breadcrumbs	breadcrumb	NN2	['F1']
21	,	,	,	['PUNCT']
22	crab	crab	NN1	['L2mfn', 'F1']
23	,	,	,	['PUNCT']
24	shrimp	shrimp	NN1	['L2mfnc', 'F1c', 'N3.2-/S2mf']
25	,	,	,	['PUNCT']
26	green	green	JJ	['O4.3', 'W5', 'L3', 'X9.1-']
27	onions	onion	NN2	['F1']
28	,	,	,	['PUNCT']
29	celery	celery	NN1	['F1', 'L3']
30	,	,	,	['PUNCT']
31	mayonnaise	mayonnaise	VV0	['F1']
32	,	,	,	['PUNCT']
33	Worcestershire	worcestershire	NP1	['Z2', 'Z3c']
34	sauce	sauce	NN1	['T1.3']
35	and	and	CC	['T1.3']
36	parsley	parsley	NN1	['T1.3']
37	.	.	.	['PUNCT']
38	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
39	well	well	RR	['A5.1+', 'A13.3', 'A7+', 'B2+', 'Z4']
40	,	,	,	['PUNCT']
41	and	and	CC	['Z5']
42	spoon	spoon	NN1	['A1.1.1']
43	mixture	mixture	NN1	['O1.1', 'A6.3+']
44	into	into	II	['Z5']
45	clean	clean	JJ	['O4.2+', 'G2.2+']
46	,	,	,	['PUNCT']
47	dry	dry	JJ	['O1.2-', 'F2-', 'X3.1', 'X9.1+', 'X5.2-', 'N5-', 'Q2.1/N5-']
48	seafood	seafood	NN1	['F1']
49	shells	shell	NN2	['L2', 'O2', 'G3']
50	or	or	CC	['Z5']
51	ramekins	ramekin	NN2	['Z99']
52	.	.	.	['PUNCT']
53	Place	Place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
54	stuffed	stuff	VBN	['M2', 'A1.1.1', 'F1', 'S7.1+@', 'Z4@']
55	shells	shell	NN2	['L2', 'O2', 'G3']
56	on	on	II	['Z5']
57	a	a	AT1	['Z5']
58	foil-lined	foil line	JJ	['O1.1', 'S8-', 'G3', 'A1.1.1']
61	cookie	cookie	NN1	['F1']
62	sheet	sheet	NN1	['B5', 'O2', 'Q1.2', 'N5']
63	,	,	,	['PUNCT']
64	and	and	CC	['Z5']
65	sprinkle	sprinkle	VB	['A1.1.1']
66	with	with	IW	['Z5']
67	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
68	/	/	FO	['Z99']
69	cup	cup	NN1	['O2', 'S7.3+', 'A5.1+/O2']
70	bread	bread	NN1	['F1']
71	crumbs	crumb	NN2	['F1']
72	.	.	.	['PUNCT']
73	Bake	Bake	VB	['F1', 'O4.6']
74	in	in	II	['Z5']
75	the	the	AT	['Z5']
76	preheated	preheated	JJ	['N4/O4.6+']
77	oven	oven	NN1	['O2/F1']
78	for	for	IF	['Z5']
79	minutes	minute	NNT2	['T1.3', 'Q1.2']
80	.	.	.	['PUNCT']
1	Bring	bring	VB	['M2', 'A2.2']
2	a	a	AT1	['Z5']
3	large	large	JJ	['N3.2+', 'N5+', 'A11.1+']
4	pot	pot	NN1	['O2', 'O1.1', 'I1.1', 'F3']
5	of	of	IO	['Z5']
6	lightly	lightly	RR	['N6-', 'N3.5-', 'E3+', 'N5-', 'A12+']
7	salted	salt	VBN	['F1']
8	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
9	to	to	II	['Z5']
10	a	a	AT1	['Z5']
11	boil	boil	NN1	['B2-', 'O4.6+@']
12	.	.	.	['PUNCT']
13	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
14	pasta	pasta	NN1	['F1']
15	in	in	II	['Z5']
16	boiling	boiling	VBG	['E3-', 'O4.6+']
17	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
18	and	and	CC	['Z5']
19	cook	cook	VB	['F1']
20	for	for	IF	['Z5']
21	to	to	II	['Z5']
22	minutes	minute	NNT2	['T1.3', 'Q1.2']
23	or	or	CC	['Z5']
24	until	until	CS	['Z5']
25	al	al	RR21	['Z1mf', 'Z3c']
26	dente	dente	RR22	['Z1mf', 'Z3c']
27	.	.	.	['PUNCT']
28	Drain	drain	VV0	['B4/H2']
29	,	,	,	['PUNCT']
30	and	and	CC	['Z5']
31	cut	cut	VBD	['A1.1.1', 'N5-/A2.1', 'T2-', 'M1', 'Q4.3', 'K5.1', 'B1', 'F3']
32	into	into	II	['Z5']
33	inch	inch	NNU1	['N3.7']
34	pieces	piece	NN2	['N5.1-', 'O2', 'Q4', 'K2', 'K4', 'G3@']
35	.	.	.	['PUNCT']
36	In	in	II	['Z5']
37	a	a	AT1	['Z5']
38	mixing	mixing	VBG	['A2.1+', 'S1.1.3+', 'K3']
39	bowl	bowl	NN1	['O2']
40	,	,	,	['PUNCT']
41	combine	combine	VB	['A2.2', 'A1.8+', 'S5+c', 'F4']
42	crab	crab	NN1	['L2mfn', 'F1']
43	,	,	,	['PUNCT']
44	noodles	noodle	NN2	['F1']
45	,	,	,	['PUNCT']
46	eggs	egg	NN2	['L2', 'F1']
47	,	,	,	['PUNCT']
48	green	green	JJ	['O4.3', 'W5', 'L3', 'X9.1-']
49	onion	onion	NN1	['F1']
50	,	,	,	['PUNCT']
51	bread	bread	NN1	['F1']
52	crumbs	crumb	NN2	['F1']
53	,	,	,	['PUNCT']
54	cilantro	cilantro	NN1	['Z99']
55	,	,	,	['PUNCT']
56	olive	olive	JJ	['O4.3']
57	oil	oil	NN1	['T1.3']
58	and	and	CC	['T1.3']
59	salt	salt	NN1	['T1.3']
60	and	and	CC	['Z5']
61	pepper	pepper	NN1	['F1']
62	.	.	.	['PUNCT']
63	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
64	thoroughly	thoroughly	RR	['A13.2', 'A1.3+']
65	.	.	.	['PUNCT']
66	On	on	II	['Z5']
67	wax	wax	NN1	['O1.1']
68	paper	paper	NN1	['Q4.2c', 'O1.1', 'Q1.2', 'P1/Q1.2', 'H5']
69	,	,	,	['PUNCT']
70	divide	divide	VBP	['A6.1-', 'A9-/N5.1', 'N2']
71	mixture	mixture	NN1	['O1.1', 'A6.3+']
72	into	into	II	['Z5']
73	equal	equal	JJ	['A6.1+++']
74	piles	pile	NN2	['N5+', 'O2', 'B2-', 'H1']
75	;	;	;	['PUNCT']
76	form	form	VB	['T2+', 'A2.1+', 'A1.8+', 'A3+', 'A1.1.1']
77	each	each	DD1	['N6+']
78	pile	pile	NN1	['N6+']
79	into	into	II	['Z5']
80	a	a	AT1	['Z5']
81	patty	patty	NN1	['Z99']
82	.	.	.	['PUNCT']
83	Make	make	VB	['A1.1.1', 'A9+', 'A2.2', 'S6+', 'A3+', 'A9-', 'X9.2+', 'X6+']
84	sure	sure	JJ	['A7+', 'Z4']
85	noodles	noodle	NN2	['F1']
86	are	be	VBP	['A3+', 'Z5']
87	incorporated	incorporate	VBN	['A1.8+', 'S5+']
88	and	and	CC	['Z5']
89	are	be	VBP	['A3+', 'Z5']
90	not	not	XX	['Z6']
91	sticking	stick	VBG	['M2', 'A1.1.1', 'A1.7+', 'A2.1-', 'T2++', 'E2+', 'A9+%']
92	out	out	RP	['Z5']
93	.	.	.	['PUNCT']
94	In	in	II	['Z5']
95	a	a	AT1	['Z5']
96	medium	medium	JJ	['N3.2', 'N3.1']
97	skillet	skillet	NN1	['Z99']
98	,	,	,	['PUNCT']
99	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
100	vegetable	vegetable	NN1	['F1', 'X9.1-/S2mf']
101	oil	oil	NN1	['T1.3']
102	and	and	CC	['T1.3']
103	cook	cook	VB	['T1.3']
104	patties	patty	NN2	['Z99']
105	over	over	II	['Z5']
106	medium	medium	JJ	['N3.2', 'N3.1']
107	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
108	for	for	IF	['Z5']
109	minutes	minute	NNT2	['T1.3', 'Q1.2']
110	on	on	II	['S8+']
111	each	each	DD1	['S8+']
112	side	side	NN1	['S8+']
113	until	until	CS	['Z5']
114	golden	golden	JJ	['O4.3', 'A11.1+', 'A5.1+']
115	.	.	.	['PUNCT']
116	Drain	drain	VB	['B4/H2']
117	on	on	II	['Z5']
118	paper	paper	NN1	['B4/B5']
119	towels	towel	NN2	['B4/B5']
120	.	.	.	['PUNCT']
121	Serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
122	with	with	IW	['Z5']
123	cilantro-lime	cilantro lime	JJ	['Z99', 'F1', 'O4.3', 'O1.1', 'L3']
126	mayonnaise	mayonnaise	NN1	['F1']
127	.	.	.	['PUNCT']
128	For	for	IF	['Z5']
129	the	the	AT	['Z5']
130	cilantro-lime	cilantro lime	JJ	['Z99', 'F1', 'O4.3', 'O1.1', 'L3']
133	mayonnaise	mayonnaise	NN1	['F1']
134	,	,	,	['PUNCT']
135	mix	mix	VV0	['O1.1', 'A6.3+', 'S1.1.3+']
136	mayonnaise	mayonnaise	NN1	['F1']
137	,	,	,	['PUNCT']
138	tablespoon	tablespoon	NN1	['O2/F1']
139	cilantro	cilantro	NN1	['Z99']
140	,	,	,	['PUNCT']
141	lime	lime	NN1	['F1', 'O4.3', 'O1.1', 'L3']
142	zest	zest	NN1	['T1.3']
143	and	and	CC	['T1.3']
144	lime	lime	NN1	['T1.3']
145	juice	juice	NN1	['F2', 'O1.2']
146	in	in	II	['Z5']
147	a	a	AT1	['Z5']
148	small	small	JJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
149	mixing	mixing	VBG	['A2.1+', 'S1.1.3+', 'K3']
150	bowl	bowl	NN1	['O2']
151	.	.	.	['PUNCT']
152	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
153	thoroughly	thoroughly	RR	['A13.2', 'A1.3+']
154	.	.	.	['PUNCT']
155	Chill	chill	NN1	['O4.6-', 'B2-']
156	until	until	CS	['Z5']
157	ready	ready	JJ	['O4.1', 'A1.2+', 'X7+', 'T2+', 'A9+/A12+', 'X9.1+']
158	to	to	TO	['Z5']
159	serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
160	.	.	.	['PUNCT']
1	In	in	II	['Z5']
2	a	a	AT1	['Z5']
3	medium	medium	JJ	['N3.2', 'N3.1']
4	saucepan	saucepan	NN1	['O2']
5	over	over	II	['Z5']
6	medium	medium	JJ	['N3.2', 'N3.1']
7	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
8	,	,	,	['PUNCT']
9	mix	mix	VV0	['A2.1+', 'S1.1.3+', 'K3']
10	refried	refrie	JJ	['Z99']
11	beans	bean	NN2	['F1']
12	,	,	,	['PUNCT']
13	taco	taco	NN1	['F1']
14	seasoning	season	NN1	['F1']
15	mix	mix	NN1	['T1.3']
16	and	and	CC	['T1.3']
17	tomato	tomato	NN1	['T1.3']
18	.	.	.	['PUNCT']
19	Allow	allow	VB	['S7.4+', 'S8+', 'X2.1']
20	the	the	AT	['Z5']
21	mixture	mixture	NN1	['O1.1', 'A6.3+']
22	to	to	TO	['Z5']
23	simmer	simmer	VB	['F1']
24	approximately	approximately	RR	['A13.4']
25	minutes	minute	NNT2	['T1.3', 'Q1.2']
26	,	,	,	['PUNCT']
27	stirring	stir	VBG	['A1.1.1', 'M1']
28	occasionally	occasionally	RR	['N6-']
29	.	.	.	['PUNCT']
30	Spoon	spoon	VB	['A1.1.1']
31	the	the	AT	['Z5']
32	mixture	mixture	NN1	['O1.1', 'A6.3+']
33	into	into	II	['Z5']
34	a	a	AT1	['Z5']
35	medium	medium	JJ	['N3.2', 'N3.1']
36	serving	serve	VBG	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
37	bowl	bowl	NN1	['O2']
38	.	.	.	['PUNCT']
39	Top	top	NN1	['M6', 'N5.1+', 'A11.1+++', 'S7.1+++', 'N4', 'X9.1+++', 'A5.1+++']
40	with	with	IW	['Z5']
41	Cheddar	Cheddar	NP1	['T1.3']
42	cheese	cheese	NN1	['T1.3']
43	and	and	CC	['Z5']
44	serve	serve	VB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
45	warm	warm	JJ	['O4.6+', 'O4.2+', 'S1.2.1+']
46	.	.	.	['PUNCT']
1	Place	place	VB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
2	the	the	AT	['Z5']
3	eggs	egg	NN2	['L2', 'F1']
4	in	in	II	['Z5']
5	a	a	AT1	['Z5']
6	saucepan	saucepan	NN1	['O2']
7	in	in	II	['Z5']
8	a	a	AT1	['Z5']
9	single	single	JJ	['N5---', 'S5-', 'S3.2-', 'M3']
10	layer	layer	NN1	['O2', 'A4.1']
11	with	with	IW	['Z5']
12	enough	enough	DD	['N5+', 'N6+', 'A13.3']
13	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
14	to	to	TO	['Z5']
15	cover	cover	VB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
16	by	by	II	['Z5']
17	inch	inch	NNU1	['N3.7']
18	.	.	.	['PUNCT']
19	Cover	cover	VB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
20	the	the	AT	['Z5']
21	saucepan	saucepan	NN1	['O2']
22	and	and	CC	['Z5']
23	bring	bring	VB	['M2', 'A2.2']
24	the	the	AT	['Z5']
25	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
26	to	to	II	['Z5']
27	a	a	AT1	['Z5']
28	boil	boil	NN1	['B2-', 'O4.6+@']
29	over	over	II	['Z5']
30	high	high	JJ	['N3.7+', 'N5+', 'A11.1+', 'S7.1+', 'A5.1+', 'T3-', 'X3.2', 'G2.2+', 'E4.1+', 'I1.3+', 'F3', 'O4.2-', 'O4.6+', 'S9']
31	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
32	.	.	.	['PUNCT']
33	Once	once	CS	['N6-', 'T1.1.1']
34	the	the	AT	['Z5']
35	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
36	is	be	VBZ	['A3+', 'Z5']
37	boiling	boil	VBG	['O4.6+', 'E3-']
38	,	,	,	['PUNCT']
39	remove	remove	VB	['M2']
40	from	from	II	['Z5']
41	the	the	AT	['Z5']
42	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
43	and	and	CC	['Z5']
44	let	let	VB	['S7.4+', 'I2.2/H1', 'T2-']
45	the	the	AT	['Z5']
46	eggs	egg	NN2	['L2', 'F1']
