Index	Text	POS CLAWS
8	cream	JJ
9	cheese	NN1
10	and	CC
11	salad	NN1
12	dressing	VVG
13	mix	NN1
14	.	.
15	Shape	NN1
16	into	II
17	large	JJ
18	ball	NN1
19	and	CC
20	roll	VV0
21	in	II
22	chopped	JJ
23	nuts	NN2
24	.	.
25	Refrigerate	JJ
26	cheese	NN1
27	ball	NN1
28	for	IF
29	several	DA2
30	hours	NNT2
31	or	CC
32	overnight	RT
33	.	.

1	Spread	VV0
2	refried	JJ
3	beans	NN2
4	evenly	RR
5	on	II
6	a	AT1
7	medium	NN1
8	sized	VVN
9	serving	VVG
10	platter	NN1
11	.	.
12	If	CS
13	the	AT
14	beans	NN2
15	are	VBR
16	watery	JJ
17	,	,
18	chill	NN1
19	for	IF
20	to	II
21	minutes	NNT2
22	.	.
23	Peel	VV0
24	the	AT
25	avocados	NN2
26	and	CC
27	remove	VV0
28	the	AT
29	pits	NN2
30	.	.
31	In	II
32	a	AT1
33	food	NN1
34	processor	NN1
35	,	,
36	blend	VV0
37	the	AT
38	avocados	NN2
39	with	IW
40	the	AT
41	mayonnaise	NN1
42	,	,
43	sour	JJ
44	cream	NN1
45	and	CC
46	taco	NN1
47	seasoning	NN1
48	until	CS
49	smooth	JJ
50	.	.
51	Pour	VV0
52	over	RP
53	the	AT
54	refried	JJ
55	beans	NN2
56	.	.
57	Top	NN1
58	with	IW
59	cheddar	NN1
60	cheese	NN1
61	.	.
62	Add	VV0
63	lettuce	NN1
64	,	,
65	tomatoes	NN2
66	,	,
67	green	JJ
68	onions	NN2
69	,	,
70	green	JJ
71	pepper	NN1
72	and	CC
73	black	JJ
74	olives	NN2
75	if	CS
76	desired	VVN
77	.	.
78	Refrigerate	VV0
79	until	CS
80	serving	VVG
81	.	.
82	Serve	VV0
83	with	IW
84	your	APPGE
85	favorite	JJ
86	tortilla	NN1
87	chips	NN2
88	.	.

1	Place	VV0
2	the	AT
3	sweet	JJ
4	potatoes	NN2
5	in	II
6	a	AT1
7	pan	NN1
8	,	,
9	and	CC
10	fill	VV0
11	with	IW
12	enough	DD
13	water	NN1
14	to	TO
15	cover	VVI
16	.	.
17	Bring	VV0
18	to	II
19	a	AT1
20	boil	NN1
21	,	,
22	and	CC
23	cook	VV0
24	until	CS
25	potatoes	NN2
26	are	VBR
27	easily	RR
28	pierced	VVN
29	with	IW
30	fork	NN1
31	,	,
32	about	II
33	minutes	NNT2
34	.	.
35	Drain	VV0
36	,	,
37	place	VV0
38	the	AT
39	potatoes	NN2
40	in	II
41	a	AT1
42	mixing	NN1
43	bowl	NN1
44	,	,
45	and	CC
46	mash	NN1
47	.	.
48	Meanwhile	RR
49	,	,
50	heat	NN1
51	tablespoon	NN1
52	canola	NN1
53	oil	NN1
54	in	II
55	a	AT1
56	skillet	NN1
57	over	II
58	medium-high	JJ
59	heat	NN1
60	.	.
61	Stir	VV0
62	in	II
63	the	AT
64	jalapeno	NN1
65	pepper	NN1
66	,	,
67	green	JJ
68	onions	NN2
69	,	,
70	and	CC
71	garlic	NN1
72	.	.
73	Cook	NP1
74	and	CC
75	stir	VV0
76	until	CS
77	the	AT
78	vegetables	NN2
79	are	VBR
80	soft	JJ
81	,	,
82	about	II
83	minutes	NNT2
84	.	.
85	Stir	VV0
86	the	AT
87	vegetables	NN2
88	,	,
89	brown	JJ
90	sugar	NN1
91	,	,
92	and	CC
93	allspice	VV0
94	into	II
95	the	AT
96	mashed	JJ
97	sweet	JJ
98	potatoes	NN2
99	.	.
100	Season	NNT1
101	to	TO
102	taste	VVI
103	with	IW
104	salt	NN1
105	and	CC
106	pepper	NN1
107	.	.
108	Form	VV0
109	the	AT
110	sweet	JJ
111	potato	NN1
112	mixture	NN1
113	into	II
114	slightly	RR
115	flattened	JJ
116	cakes	NN2
117	about	RPK
118	to	TO
119	/	FO
120	inches	NNU2
121	in	II
122	diameter	NN1
123	using	VVG
124	your	APPGE
125	hands	NN2
126	or	CC
127	large	JJ
128	spoons	NN2
129	.	.
130	Place	VV0
131	on	II
132	a	AT1
133	plate	NN1
134	.	.
135	Heat	NN1
136	/	FO
137	cup	NN1
138	canola	NN1
139	oil	NN1
140	in	II
141	a	AT1
142	skillet	NN1
143	over	II
144	medium-high	JJ
145	heat	NN1
146	.	.
147	Place	VV0
148	the	AT
149	sweet	JJ
150	potato	NN1
151	cakes	NN2
152	in	II
153	the	AT
154	skillet	NN1
155	,	,
156	four	MC
157	at	II
158	a	AT1
159	time	NNT1
160	,	,
161	and	CC
162	cook	NN1
163	,	,
164	turning	VVG
165	once	RR
166	,	,
167	until	CS
168	golden	JJ
169	brown	NN1
170	on	II
171	each	DD1
172	side	NN1
173	,	,
174	to	II
175	minutes	NNT2
176	.	.
177	Add	VV0
178	more	DAR
179	oil	NN1
180	if	CS
181	needed	VVN
182	.	.

1	Spread	VV0
2	bottom	JJ
3	bagel	NN1
4	half	NN1
5	with	IW
6	tomato	NN1
7	sauce	NN1
8	;	;
9	add	VV0
10	cheese	NN1
11	,	,
12	onion	NN1
13	,	,
14	bell	NN1
15	pepper	NN1
16	and	CC
17	pepperoni	NN1
18	.	.
19	Place	VV0
20	other	JJ
21	half	NN1
22	of	IO
23	bagel	NN1
24	on	II
25	top	NN1
26	.	.
27	Preheat	VV0
28	toaster	NN1
29	oven	NN1
30	to	II
31	degrees	NN2
32	F	ZZ1
33	(	(
34	degrees	NN2
35	C	ZZ1
36	)	)
37	.	.
38	Place	VV0
39	bagel	NN1
40	in	II
41	preheated	JJ
42	toaster	NN1
43	oven	NN1
44	and	CC
45	toast	VV0
46	about	II
47	minutes	NNT2
48	,	,
49	or	CC
50	until	CS
51	bagel	NN1
52	is	VBZ
53	golden	JJ
54	brown	JJ
55	.	.

1	Preheat	VV0
2	the	AT
3	oven	NN1
4	to	II
5	degrees	NN2
6	F	ZZ1
7	(	(
8	degrees	NN2
9	C	ZZ1
10	)	)
11	.	.
12	Turn	VV0
13	two	MC
14	muffin	NN1
15	tins	NN2
16	upside	RL21
17	down	RL22
18	,	,
19	and	CC
20	cover	VV0
21	the	AT
22	outside	II21
23	of	II22
24	cups	NN2
25	with	IW
26	aluminum	NN1
27	foil	NN1
28	.	.
29	Set	VV0
30	aside	RL
31	.	.
32	Weave	VV0
33	the	AT
34	bacon	NN1
35	into	II
36	a	AT1
37	mat	NN1
38	that	CST
39	is	VBZ
40	strips	NN2
41	across	RL
42	and	CC
43	strips	VVZ
44	wide	JJ
45	.	.
46	Cut	VV0
47	into	II
48	even	JJ
49	squares	NN2
50	.	.
51	Place	VV0
52	each	DD1
53	square	NN1
54	over	II
55	one	MC1
56	of	IO
57	the	AT
58	foil	NN1
59	covered	VVD
60	muffin	NN1
61	cups	NN2
62	.	.
63	Bake	VV0
64	the	AT
65	bacon	NN1
66	in	II
67	the	AT
68	preheated	JJ
69	oven	NN1
70	until	CS
71	crisp	JJ
72	,	,
73	about	II
74	minutes	NNT2
75	.	.
76	Remove	VV0
77	the	AT
78	bacon	NN1
79	cups	VVZ
80	from	II
81	the	AT
82	pan	NN1
83	and	CC
84	allow	VV0
85	to	TO
86	cool	VVI
87	completely	RR
88	.	.
89	Once	RR
90	cooled	VVN
91	,	,
92	fill	VV0
93	each	DD1
94	with	IW
95	some	DD
96	lettuce	NN1
97	and	CC
98	tomato	NN1
99	halves	NN2
100	.	.
101	Top	NN1
102	with	IW
103	shredded	JJ
104	Cheddar	NP1
105	cheese	NN1
106	.	.
107	Serve	VV0
108	at	II
109	room	NN1
110	temperature	NN1
111	.	.

1	Stir	VV0
2	the	AT
3	mango	NN1
4	,	,
5	red	JJ
6	bell	NN1
7	pepper	NN1
8	,	,
9	jalapeno	NN1
10	pepper	NN1
11	,	,
12	green	JJ
13	onion	NN1
14	,	,
15	lime	NN1
16	zest	NN1
17	,	,
18	lime	NN1
19	juice	NN1
20	,	,
21	vinegar	NN1
22	,	,
23	olive	JJ
24	oil	NN1
25	,	,
26	salt	NN1
27	and	CC
28	pepper	NN1
29	together	RL
30	in	II
31	a	AT1
32	bowl	NN1
33	.	.
34	Refrigerate	VV0
35	at	RR21
36	least	RR22
37	minutes	NNT2
38	before	II
39	serving	VVG
40	.	.

1	Place	VV0
2	eggs	NN2
3	in	II
4	a	AT1
5	saucepan	NN1
6	and	CC
7	cover	VV0
8	with	IW
9	water	NN1
10	.	.
11	Bring	VV0
12	to	II
13	a	AT1
14	boil	NN1
15	;	;
16	remove	VV0
17	saucepan	NN1
18	from	II
19	heat	NN1
20	and	CC
21	let	VV0
22	eggs	NN2
23	cook	VVI
24	in	II
25	hot	JJ
26	water	NN1
27	off	II
28	the	AT
29	heat	NN1
30	for	IF
31	minutes	NNT2
32	.	.
33	Pour	VV0
34	off	RP
35	hot	JJ
36	water	NN1
37	and	CC
38	place	VV0
39	eggs	NN2
40	in	II
41	a	AT1
42	bowl	NN1
43	full	JJ
44	of	IO
45	ice	NN1
46	water	NN1
47	to	TO
48	cool	VVI
49	.	.
50	Peel	VV0
51	and	CC
52	halve	VVI
53	eggs	NN2
54	.	.
55	Chop	VV0
56	about	RG
57	half	DB
58	the	AT
59	egg	NN1
60	whites	NN2
61	and	CC
62	place	VV0
63	into	II
64	a	AT1
65	bowl	NN1
66	.	.
67	Put	VV0
68	remaining	JJ
69	egg	NN1
70	whites	NN2
71	and	CC
72	yolks	VVZ
73	in	II
74	a	AT1
75	food	NN1
76	processor	NN1
77	with	IW
78	mayonnaise	NN1
79	,	,
80	Dijon	NP1
81	mustard	NN1
82	,	,
83	white	JJ
84	wine	NN1
85	vinegar	NN1
86	,	,
87	and	CC
88	hot	JJ
89	sauce	NN1
90	;	;
91	process	VV0
92	till	II
93	smooth	JJ
94	and	CC
95	transfer	VV0
96	to	II
97	a	AT1
98	bowl	NN1
99	.	.
100	Fold	VV0
101	chopped	JJ
102	egg	NN1
103	whites	NN2
104	into	II
105	the	AT
106	mixture	NN1
107	to	TO
108	serve	VVI
109	.	.

1	Place	VV0
2	eggs	NN2
3	in	II
4	a	AT1
5	saucepan	NN1
6	and	CC
7	cover	VV0
8	with	IW
9	water	NN1
10	.	.
11	Bring	VV0
12	to	II
13	a	AT1
14	boil	NN1
15	,	,
16	remove	VV0
17	from	II
18	heat	NN1
19	,	,
20	and	CC
21	let	VV0
22	eggs	NN2
23	stand	VVI
24	in	II
25	hot	JJ
26	water	NN1
27	for	IF
28	minutes	NNT2
29	.	.
30	Drain	VV0
31	hot	JJ
32	water	NN1
33	and	CC
34	fill	VV0
35	saucepan	NN1
36	with	IW
37	cold	JJ
38	water	NN1
39	;	;
40	allow	VV0
41	eggs	NN2
42	to	TO
43	sit	VVI
44	until	CS
45	cooled	VVN
46	,	,
47	to	II
48	minutes	NNT2
49	.	.
50	Drain	VV0
51	water	NN1
52	.	.
53	Gently	RR
54	tap	VV0
55	or	CC
56	roll	VV0
57	eggs	NN2
58	on	II
59	the	AT
60	counter	NN1
61	so	CS
62	the	AT
63	shell	NN1
64	is	VBZ
65	cracked	VVN
66	but	CCB
67	still	RR
68	intact	JJ
69	.	.
70	Return	VV0
71	eggs	NN2
72	to	II
73	saucepan	NN1
74	and	CC
75	pour	VV0
76	in	II
77	enough	DD
78	water	NN1
79	to	TO
80	cover	VVI
81	eggs	NN2
82	;	;
83	add	VV0
84	soy	JJ
85	sauce	NN1
86	,	,
87	molasses	NN1
88	,	,
89	salt	NN1
90	,	,
91	and	CC
92	tea	NN1
93	bags	NN2
94	.	.
95	Bring	VV0
96	to	II
97	a	AT1
98	boil	NN1
99	,	,
100	reduce	VV0
101	heat	NN1
102	,	,
103	and	CC
104	simmer	VV0
105	until	CS
106	eggs	NN2
107	have	VH0
108	absorbed	VVN
109	color	NN1
110	,	,
111	about	II
112	minutes	NNT2
113	.	.
114	Remove	VV0
115	saucepan	NN1
116	from	II
117	heat	NN1
118	and	CC
119	leave	VV0
120	eggs	NN2
121	in	II
122	water	NN1
123	to	TO
124	cool	VVI
125	to	II
126	room	NN1
127	temperature	NN1
128	.	.
129	Peel	VV0
130	eggs	NN2
131	and	CC
132	trim	JJ
133	bottom	NN1
134	of	IO
135	each	DD1
136	egg	NN1
137	so	CS
138	it	PPH1
139	will	VM
140	stand	VVI
141	upright	RL
142	.	.
143	Cut	VV0
144	each	DD1
145	egg	NN1
146	lengthwise	RR
147	and	CC
148	scoop	NN1
149	yolks	VVZ
150	into	II
151	a	AT1
152	bowl	NN1
153	.	.
154	Mix	VV0
155	mayonnaise	NN1
156	,	,
157	red	JJ
158	bell	NN1
159	pepper	NN1
160	,	,
161	salt	NN1
162	,	,
163	and	CC
164	pepper	NN1
165	into	II
166	egg	NN1
167	yolks	VVZ
168	until	CS
169	evenly	RR
170	combined	VVN
171	.	.
172	Spoon	NN1
173	yolk	NN1
174	mixture	NN1
175	back	RP
176	into	II
177	egg	NN1
178	whites	NN2
179	;	;
180	smooth	JJ
181	filling	NN1
182	to	TO
183	be	VBI
184	level	JJ
185	with	IW
186	egg	NN1
187	white	NN1
188	.	.
189	Put	VV0
190	each	DD1
191	egg	NN1
192	back	RP
193	together	RL
194	.	.
195	Pour	VV0
196	salsa	NN1
197	onto	II
198	a	AT1
199	plate	NN1
200	and	CC
201	assemble	VV0
202	eggs	NN2
203	upright	RL
204	into	II
205	the	AT
206	salsa	NN1
207	.	.

1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Mix	VV0
12	crabmeat	NN1
13	,	,
14	Italian-style	JJ
15	bread	NN1
16	crumbs	NN2
17	,	,
18	panko	NN1
19	,	,
20	Parmesan	JJ
21	cheese	NN1
22	,	,
23	mozzarella	NN1
24	cheese	NN1
25	,	,
26	egg	NN1
27	,	,
28	milk	NN1
29	,	,
30	and	CC
31	butter	NN1
32	in	II
33	a	AT1
34	bowl	NN1
35	until	CS
36	thick	JJ
37	yet	RR
38	pliable	JJ
39	enough	RR
40	to	TO
41	shape	VVI
42	.	.
43	Divide	VV0
44	and	CC
45	roll	VVI
46	into	II
47	inch	NNU1
48	balls	NN2
49	.	.
50	Gently	RR
51	press	VV0
52	the	AT
53	balls	NN2
54	into	II
55	the	AT
56	mushroom	NN1
57	caps	NN2
58	and	CC
59	press	VV0
60	to	TO
61	spread	VVI
62	into	II
63	a	AT1
64	rounded	JJ
65	mound	NN1
66	atop	II
67	the	AT
68	mushroom	NN1
69	.	.
70	Bake	VV0
71	in	II
72	preheated	JJ
73	oven	NN1
74	until	CS
75	heated	VVN
76	through	RP
77	and	CC
78	golden	JJ
79	on	II
80	top	NN1
81	,	,
82	about	II
83	minutes	NNT2
84	.	.

1	Place	VV0
2	the	AT
3	cream	NN1
4	cheese	NN1
5	,	,
6	sour	JJ
7	cream	NN1
8	,	,
9	milk	NN1
10	,	,
11	horseradish	NN1
12	,	,
13	onion	NN1
14	,	,
15	and	CC
16	dill	VV0
17	in	II
18	a	AT1
19	bowl	NN1
20	,	,
21	and	CC
22	stir	VV0
23	until	CS
24	well	RR
25	blended	VVN
26	.	.
27	Gently	RR
28	fold	VV0
29	in	II
30	the	AT
31	beef	NN1
32	and	CC
33	black	JJ
34	olives	NN2
35	.	.
36	Cover	VV0
37	and	CC
38	refrigerate	JJ
39	hours	NNT2
40	,	,
41	or	CC
42	overnight	JJ
43	to	TO
44	blend	VVI
45	flavors	NN2
46	before	II
47	serving	VVG
48	.	.

1	Remove	VV0
2	skin	NN1
3	and	CC
4	bones	NN2
5	from	II
6	fish	NN
7	.	.
8	In	II
9	a	AT1
10	medium	JJ
11	bowl	NN1
12	,	,
13	mix	VV0
14	fish	NN
15	with	IW
16	onion	NN1
17	and	CC
18	hot	JJ
19	pepper	NN1
20	sauce	NN1
21	with	IW
22	a	AT1
23	fork	NN1
24	,	,
25	breaking	VVG
26	fish	NN
27	into	II
28	small	JJ
29	pieces	NN2
30	.	.
31	Mix	VV0
32	in	II
33	mayonnaise	NN1
34	.	.
35	Season	NNT1
36	to	TO
37	taste	VVI
38	with	IW
39	salt	NN1
40	and	CC
41	pepper	NN1
42	.	.
43	Cover	VV0
44	,	,
45	and	CC
46	refrigerate	VV0
47	for	IF
48	hours	NNT2
49	.	.

1	Layer	VV0
2	shredded	JJ
3	lettuce	NN1
4	on	II
5	a	AT1
6	inch	NNU1
7	serving	NN1
8	platter	NN1
9	.	.
10	In	II
11	a	AT1
12	medium	JJ
13	bowl	NN1
14	,	,
15	stir	VV0
16	together	RL
17	black	JJ
18	beans	NN2
19	,	,
20	red	JJ
21	chile	JJ
22	peppers	NN2
23	and	CC
24	green	JJ
25	onions	NN2
26	.	.
27	Spoon	VV0
28	the	AT
29	mixture	NN1
30	on	II31
31	top	II32
32	of	II33
33	the	AT
34	lettuce	NN1
35	.	.
36	Gently	RR
37	spread	VV0
38	sour	JJ
39	cream	NN1
40	over	II
41	beans	NN2
42	.	.
43	Sprinkle	VV0
44	with	IW
45	jalapeno	NN1
46	peppers	NN2
47	and	CC
48	lime	NN1
49	zest	NN1
50	.	.
51	Drain	VV0
52	excess	JJ
53	liquid	NN1
54	from	II
55	salsa	NN1
56	.	.
57	Place	VV0
58	salsa	NN1
59	in	II
60	a	AT1
61	medium	JJ
62	bowl	NN1
63	.	.
64	Stir	VV0
65	in	II
66	avocado	NN1
67	.	.
68	Spoon	VV0
69	the	AT
70	mixture	NN1
71	over	II
72	sour	JJ
73	cream	NN1
74	layer	NN1
75	.	.
76	Sprinkle	VV0
77	with	IW
78	Monterey	NP1
79	Jack	NP1
80	cheese	NN1
81	.	.
82	Top	NN1
83	with	IW
84	black	JJ
85	olives	NN2
86	and	CC
87	cilantro	NN1
88	.	.
89	Serve	VV0
90	immediately	RR
91	,	,
92	or	CC
93	chill	NN1
94	in	II
95	the	AT
96	refrigerator	NN1
97	.	.

1	Spread	VV0
2	spinach	NN1
3	dip	VV0
4	evenly	RR
5	over	II
6	the	AT
7	pizza	NN1
8	crust	NN1
9	to	II
10	within	II
11	/	FO
12	inch	NNU1
13	of	IO
14	the	AT
15	edge	NN1
16	.	.
17	Top	NN1
18	with	IW
19	broccoli	NN1
20	,	,
21	chicken	NN1
22	,	,
23	green	JJ
24	onions	NN2
25	and	CC
26	tomato	NN1
27	.	.
28	Cut	VV0
29	into	II
30	wedges	NN2
31	to	TO
32	serve	VVI
33	.	.

1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Arrange	VV0
12	phyllo	NN1
13	cups	VVZ
14	on	II
15	an	AT1
16	ungreased	JJ
17	baking	NN1
18	sheet	NN1
19	.	.
20	In	II
21	a	AT1
22	large	JJ
23	skillet	NN1
24	over	II
25	medium	JJ
26	heat	NN1
27	,	,
28	melt	VV0
29	butter	NN1
30	and	CC
31	combine	VV0
32	sausage	NN1
33	meat	NN1
34	and	CC
35	garlic	NN1
36	.	.
37	Cook	VV0
38	until	CS
39	sausage	NN1
40	is	VBZ
41	browned	VVN
42	,	,
43	about	RPK
44	to	TO
45	minutes	NNT2
46	;	;
47	drain	VV0
48	grease	NN1
49	,	,
50	and	CC
51	add	VV0
52	mushrooms	NN2
53	.	.
54	Stirring	VVG
55	occasionally	RR
56	,	,
57	cook	NN1
58	minutes	NNT2
59	more	RRR
60	or	CC
61	until	CS
62	all	DB
63	liquid	JJ
64	evaporates	NN2
65	;	;
66	remove	VV0
67	from	II
68	heat	NN1
69	and	CC
70	let	VV0
71	cool	JJ
72	.	.
73	Fill	VV0
74	each	DD1
75	phyllo	NN1
76	cup	NN1
77	with	IW
78	tablespoon	NN1
79	of	IO
80	the	AT
81	sausage	NN1
82	mixture	NN1
83	,	,
84	and	CC
85	top	NN1
86	with	IW
87	a	AT1
88	pinch	NN1
89	of	IO
90	cheese	NN1
91	.	.
92	Bake	VV0
93	in	II
94	a	AT1
95	preheated	JJ
96	oven	NN1
97	to	II
98	minutes	NNT2
99	,	,
100	or	CC
101	until	CS
102	the	AT
103	cheese	NN1
104	melts	VVZ
105	and	CC
106	the	AT
107	pastry	NN1
108	is	VBZ
109	golden	JJ
110	brown	JJ
111	.	.
112	Serve	VV0
113	immediately	RR
114	.	.

1	In	II
2	a	AT1
3	medium	JJ
4	bowl	NN1
5	,	,
6	mix	VV0
7	sour	JJ
8	cream	NN1
9	,	,
10	mayonnaise	VV0
11	,	,
12	dry	JJ
13	Italian-style	JJ
14	salad	NN1
15	dressing	VVG
16	mix	NN1
17	and	CC
18	dried	JJ
19	beef	NN1
20	.	.
21	Cover	VV0
22	and	CC
23	chill	NN1
24	in	II
25	the	AT
26	refrigerator	NN1
27	hours	NNT2
28	,	,
29	or	CC
30	overnight	RT
31	,	,
32	before	II
33	serving	VVG
34	.	.

1	In	II
2	a	AT1
3	medium	JJ
4	bowl	NN1
5	,	,
6	or	CC
7	food	NN1
8	processor	NN1
9	,	,
10	mix	VV0
11	together	RL
12	the	AT
13	cream	NN1
14	cheese	NN1
15	,	,
16	seasoning	NN1
17	salt	NN1
18	,	,
19	and	CC
20	tablespoons	NN2
21	of	IO
22	juice	NN1
23	from	II
24	the	AT
25	olive	JJ
26	jar	NN1
27	until	CS
28	well	RR
29	blended	VVN
30	.	.
31	Set	VV0
32	aside	RL
33	in	II
34	the	AT
35	refrigerator	NN1
36	to	II
37	firm	NN1
38	up	RP
39	,	,
40	about	II
41	minutes	NNT2
42	.	.
43	When	CS
44	the	AT
45	cheese	NN1
46	mixture	NN1
47	is	VBZ
48	firm	JJ
49	,	,
50	pack	VV0
51	enough	DD
52	of	IO
53	the	AT
54	cream	NN1
55	cheese	NN1
56	mixture	NN1
57	around	II
58	the	AT
59	outside	II21
60	of	II22
61	each	DD1
62	olive	NN1
63	so	CS21
64	that	CS22
65	it	PPH1
66	is	VBZ
67	completely	RR
68	covered	VVN
69	.	.
70	Roll	VV0
71	each	DD1
72	olive	JJ
73	ball	NN1
74	in	II
75	chopped	JJ
76	pecans	NN2
77	,	,
78	and	CC
79	return	VV0
80	them	PPHO2
81	to	II
82	the	AT
83	refrigerator	NN1
84	until	CS
85	firm	NN1
86	.	.
87	To	TO
88	serve	VVI
89	,	,
90	cut	VV0
91	each	DD1
92	olive	JJ
93	ball	NN1
94	in	II
95	half	DB
96	,	,
97	and	CC
98	arrange	VV0
99	on	II
100	a	AT1
101	serving	NN1
102	tray	NN1
103	cut	NN1
104	side	NN1
105	up	RP
106	.	.

1	In	II
2	a	AT1
3	blender	NN1
4	or	CC
5	food	NN1
6	processor	NN1
7	,	,
8	mix	VV0
9	the	AT
10	garbanzo	NN1
11	beans	NN2
12	,	,
13	jalapeno	NN1
14	peppers	NN2
15	and	CC
16	reserved	JJ
17	juice	NN1
18	,	,
19	tahini	NN1
20	,	,
21	garlic	NN1
22	,	,
23	and	CC
24	lemon	NN1
25	juice	NN1
26	.	.
27	Season	NNT1
28	with	IW
29	cumin	NN1
30	,	,
31	curry	NN1
32	powder	NN1
33	,	,
34	and	CC
35	crushed	JJ
36	red	JJ
37	pepper	NN1
38	.	.
39	Blend	VV0
40	until	CS
41	smooth	JJ
42	.	.

1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Slice	VV0
12	the	AT
13	baguette	NN1
14	into	II
15	rounds	NN2
16	.	.
17	Brush	VV0
18	bread	NN1
19	rounds	VVZ
20	lightly	RR
21	with	IW
22	olive	JJ
23	oil	NN1
24	.	.
25	Place	VV0
26	bread	NN1
27	rounds	VVZ
28	on	II
29	a	AT1
30	baking	NN1
31	sheet	NN1
32	.	.
33	Toast	VV0
34	the	AT
35	bread	NN1
36	rounds	VVZ
37	in	II
38	the	AT
39	preheated	JJ
40	oven	NN1
41	just	RR
42	until	CS
43	crisp	JJ
44	,	,
45	to	II
46	minutes	NNT2
47	.	.
48	Meanwhile	RR
49	,	,
50	slice	VV0
51	Brie	NP1
52	cheese	NN1
53	into	II
54	equal	JJ
55	pieces	NN2
56	.	.
57	Remove	VV0
58	toasted	JJ
59	bread	NN1
60	from	II
61	oven	NN1
62	;	;
63	top	VV0
64	each	DD1
65	round	RP
66	with	IW
67	a	AT1
68	slice	NN1
69	of	IO
70	Brie	NP1
71	cheese	NN1
72	.	.
73	Return	VV0
74	the	AT
75	crostini	NN2
76	to	II
77	the	AT
78	oven	NN1
79	to	TO
80	melt	VVI
81	the	AT
82	cheese	NN1
83	,	,
84	about	II
85	minutes	NNT2
86	.	.
87	Preheat	VV0
88	the	AT
89	ovens	NN2
90	broiler	NN1
91	and	CC
92	set	VV0
93	the	AT
94	oven	NN1
95	rack	NN1
96	about	RG
97	inches	NNU2
98	from	II
99	the	AT
100	heat	NN1
101	source	NN1
102	.	.
103	In	II
104	an	AT1
105	ovenproof	JJ
106	casserole	NN1
107	,	,
108	stir	VV0
109	together	RL
110	the	AT
111	oysters	NN2
112	,	,
113	butter	NN1
114	,	,
115	any	DD
116	remaining	JJ
117	olive	JJ
118	oil	NN1
119	,	,
120	salt	NN1
121	,	,
122	and	CC
123	pepper	NN1
124	.	.
125	Broil	VV0
126	in	II
127	the	AT
128	preheated	JJ
129	oven	NN1
130	until	CS
131	the	AT
132	oysters	NN2
133	begin	VV0
134	to	TO
135	curl	VVI
136	at	II
137	the	AT
138	edges	NN2
139	,	,
140	about	II
141	minutes	NNT2
142	.	.
143	Remove	VV0
144	the	AT
145	oysters	NN2
146	;	;
147	place	VV0
148	one	MC1
149	oyster	NN1
150	on	II31
151	top	II32
152	of	II33
153	each	DD1
154	crostini	NN2
155	.	.
156	Top	VV0
157	the	AT
158	crostini	NN2
159	with	IW
160	red	JJ
161	pepper	NN1
162	strips	NN2
163	;	;
164	serve	VV0
165	warm	JJ
166	.	.

1	Place	VV0
2	wings	NN2
3	in	II
4	a	AT1
5	large	JJ
6	glass	NN1
7	bowl	NN1
8	.	.
9	Sprinkle	VV0
10	/	FO
11	tablespoons	NN2
12	garlic	NN1
13	powder	NN1
14	,	,
15	tablespoon	NN1
16	onion	NN1
17	powder	NN1
18	,	,
19	tablespoon	NN1
20	paprika	NN1
21	,	,
22	tablespoon	NN1
23	chili	NN1
24	powder	NN1
25	,	,
26	tablespoon	NN1
27	cumin	NN1
28	,	,
29	sazon	NN1
30	seasoning	NN1
31	,	,
32	and	CC
33	teaspoon	NN1
34	cayenne	NN1
35	pepper	NN1
36	over	II
37	chicken	NN1
38	wings	NN2
39	and	CC
40	rub	VV0
41	spices	NN2
42	into	II
43	wings	NN2
44	to	TO
45	coat	VVI
46	completely	RR
47	.	.
48	Cover	VV0
49	the	AT
50	bowl	NN1
51	with	IW
52	plastic	NN1
53	wrap	NN1
54	and	CC
55	refrigerate	NN1
56	,	,
57	hour	NNT1
58	to	II
59	overnight	RT
60	.	.
61	Heat	NN1
62	oil	NN1
63	in	II
64	a	AT1
65	deep-fryer	NN1
66	or	CC
67	large	JJ
68	saucepan	NN1
69	to	II
70	degrees	NN2
71	F	ZZ1
72	(	(
73	degrees	NN2
74	C	ZZ1
75	)	)
76	.	.
77	Preheat	VV0
78	oven	NN1
79	to	II
80	degrees	NN2
81	F	ZZ1
82	(	(
83	degrees	NN2
84	C	ZZ1
85	)	)
86	.	.
87	Line	VV0
88	a	AT1
89	baking	NN1
90	sheet	NN1
91	with	IW
92	aluminum	NN1
93	foil	NN1
94	and	CC
95	spray	VV0
96	with	IW
97	cooking	VVG
98	spray	NN1
99	.	.
100	Melt	VV0
101	butter	NN1
102	in	II
103	a	AT1
104	saucepan	NN1
105	over	II
106	medium	JJ
107	heat	NN1
108	;	;
109	whisk	VV0
110	hot	JJ
