Index	Text	Lemma	POS	USAS Tags
124	lid	lid	NOUN	['O2']
125	.	.	PUNCT	['PUNCT']
126	Store	store	NOUN	['I2.2/H1c', 'A9+', 'A9+/H1']
127	in	in	ADP	['Z5']
128	the	the	DET	['Z5']
129	refrigerator	refrigerator	NOUN	['O4.6-/O3']
130	for	for	ADP	['Z5']
131	to	to	ADP	['Z5']
132	weeks	week	NOUN	['T1.3']
133	before	before	ADP	['Z5']
134	serving	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
135	.	.	PUNCT	['PUNCT']
136	Serve	Serve	PROPN	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
137	chilled	chill	VERB	['O4.6-']
138	.	.	PUNCT	['PUNCT']

1	Whisk	whisk	NOUN	['O2']
2	vinegar	vinegar	NOUN	['O1.2/F1']
3	,	,	PUNCT	['PUNCT']
4	fish	fish	NOUN	['F1']
5	sauce	sauce	NOUN	['F1']
6	,	,	PUNCT	['PUNCT']
7	sugar	sugar	NOUN	['F1']
8	,	,	PUNCT	['PUNCT']
9	lime	lime	NOUN	['F1', 'O4.3', 'O1.1', 'L3']
10	juice	juice	NOUN	['F2', 'O1.2']
11	,	,	PUNCT	['PUNCT']
12	garlic	garlic	NOUN	['F1', 'L3']
13	,	,	PUNCT	['PUNCT']
14	and	and	CCONJ	['Z5']
15	red	red	ADJ	['O4.3', 'G1.2']
16	pepper	pepper	NOUN	['F1']
17	flakes	flake	NOUN	['O2']
18	together	together	ADV	['S5+', 'T1.1.2', 'M6']
19	in	in	ADP	['Z5']
20	a	a	DET	['Z5']
21	small	small	ADJ	['N3.2-', 'N3.7-', 'N5-', 'T3-', 'A11.1-', 'S5-/I2.1', 'X3.2-', 'A5.1-']
22	bowl	bowl	NOUN	['O2']
23	.	.	PUNCT	['PUNCT']
24	Set	set	VERB	['M2', 'M6', 'O4.5', 'O4.1', 'W4', 'A1.1.1', 'B3', 'B4', 'X6+', 'S6+', 'K2', 'Q4.3']
25	the	the	DET	['Z5']
26	dipping	dip	VERB	['A1.1.1']
27	sauce	sauce	NOUN	['F1', 'S1.2.4-']
28	aside	aside	ADV	['M6', 'A10-', 'A9+']
29	.	.	PUNCT	['PUNCT']
30	Fill	fill	VERB	['N5.1+', 'I3.1', 'Q1.2@']
31	a	a	DET	['Z5']
32	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
33	bowl	bowl	NOUN	['O2']
34	with	with	ADP	['Z5']
35	room	room	NOUN	['H2', 'N3.6']
36	temperature	temperature	NOUN	['O4.6']
37	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
38	.	.	PUNCT	['PUNCT']
39	Add	add	VERB	['N5+/A2.1', 'N2', 'A1.8+']
40	rice	rice	NOUN	['F1']
41	vermicelli	vermicelli	PROPN	['Z99']
42	and	and	CCONJ	['Z5']
43	soak	soak	VERB	['O1.2', 'B4']
44	for	for	ADP	['Z5']
45	hour	hour	NOUN	['T1.3']
46	.	.	PUNCT	['PUNCT']
47	Bring	bring	VERB	['M2', 'A2.2']
48	a	a	DET	['Z5']
49	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
50	pot	pot	NOUN	['O2', 'O1.1', 'I1.1', 'F3']
51	of	of	ADP	['Z5']
52	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
53	to	to	ADP	['Z5']
54	a	a	DET	['Z5']
55	boil	boil	NOUN	['B2-', 'O4.6+@']
56	.	.	PUNCT	['PUNCT']
57	Drop	drop	VERB	['M2', 'M1', 'N5-/A2.1', 'O1.2/M1', 'B2-', 'T2-', 'A9-', 'A1.8-', 'X9.2-/K5', 'X3.2']
58	in	in	ADP	['Z5']
59	shrimp	shrimp	NOUN	['L2mfnc', 'F1c', 'N3.2-/S2mf']
60	and	and	CCONJ	['Z5']
61	cook	cook	VERB	['F1']
62	until	until	ADP	['Z5']
63	curled	curl	VERB	['O4.4', 'M2', 'M1']
64	and	and	CCONJ	['Z5']
65	pink	pink	ADJ	['O4.3']
66	,	,	PUNCT	['PUNCT']
67	about	about	ADP	['Z5']
68	minute	minute	NOUN	['T1.3', 'Q1.2']
69	.	.	PUNCT	['PUNCT']
70	Remove	remove	VERB	['M2']
71	the	the	DET	['Z5']
72	shrimp	shrimp	NOUN	['L2mfnc', 'F1c', 'N3.2-/S2mf']
73	and	and	CCONJ	['Z5']
74	drain	drain	VERB	['M2/N5.1-', 'M1', 'O4.5', 'A10-', 'B2-']
75	.	.	PUNCT	['PUNCT']
76	Slice	slice	VERB	['A1.1.1']
77	each	each	DET	['N6+']
78	shrimp	shrimp	NOUN	['N6+']
79	in	in	ADP	['A2.1+']
80	half	half	NOUN	['A2.1+']
81	lengthwise	lengthwise	ADJ	['N3.7']
82	.	.	PUNCT	['PUNCT']
83	Transfer	transfer	NOUN	['Z2']
84	rice	rice	NOUN	['Z2']
85	vermicelli	vermicelli	PROPN	['Z2']
86	noodles	noodle	VERB	['F1']
87	to	to	ADP	['Z5']
88	the	the	DET	['Z5']
89	pot	pot	NOUN	['O2', 'O1.1', 'I1.1', 'F3']
90	of	of	ADP	['Z5']
91	boiling	boiling	NOUN	['E3-', 'O4.6+']
92	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
93	and	and	CCONJ	['Z5']
94	cook	cook	VERB	['F1']
95	for	for	ADP	['Z5']
96	minute	minute	NOUN	['T1.3', 'Q1.2']
97	.	.	PUNCT	['PUNCT']
98	Remove	remove	VERB	['M2']
99	and	and	CCONJ	['Z5']
100	drain	drain	VERB	['M2/N5.1-', 'M1', 'O4.5', 'A10-', 'B2-']
101	in	in	ADP	['Z5']
102	a	a	DET	['Z5']
103	colander	colander	NOUN	['Z99']
104	.	.	PUNCT	['PUNCT']
105	Immediately	immediately	ADV	['N3.8+', 'T1.1.2/A11.1+', 'N4']
106	rinse	rinse	VERB	['B4']
107	the	the	DET	['Z5']
108	vermicelli	vermicelli	PROPN	['Z99']
109	with	with	ADP	['Z5']
110	cold	cold	ADJ	['O4.6-', 'S1.2.1-', 'E1-', 'A1.1.1']
111	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
112	,	,	PUNCT	['PUNCT']
113	stirring	stir	VERB	['A1.1.1', 'M1']
114	to	to	PART	['Z5']
115	separate	separate	VERB	['A6.1-', 'S3.1-']
116	the	the	DET	['Z5']
117	noodles	noodle	NOUN	['F1']
118	.	.	PUNCT	['PUNCT']
119	To	to	PART	['Z5']
120	assemble	assemble	VERB	['S5+', 'A9+', 'A1.1.1']
121	the	the	DET	['Z5']
122	rolls	roll	NOUN	['O2', 'F1', 'M1', 'Q1.2']
123	,	,	PUNCT	['PUNCT']
124	dip	dip	NOUN	['O4.4', 'F1', 'O1', 'M4']
125	rice	rice	NOUN	['F1']
126	wrapper	wrapper	NOUN	['O2']
127	in	in	ADP	['Z5']
128	a	a	DET	['Z5']
129	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
130	bowl	bowl	NOUN	['O2']
131	of	of	ADP	['Z5']
132	room	room	NOUN	['H2', 'N3.6']
133	temperature	temperature	NOUN	['O4.6']
134	water	water	NOUN	['O1.2', 'W3/M4', 'B1', 'C1%']
135	for	for	ADP	['Z5']
136	a	a	DET	['Z5']
137	few	few	ADJ	['N5-']
138	seconds	second	NOUN	['P1', 'F1', 'O2/T3+', 'S8+/S2mf', 'T1.3', 'T1.2']
139	to	to	PART	['Z5']
140	soften	soften	VERB	['O4.5', 'A2.1+', 'S1.2.5-', 'S1.2.1+', 'O4.1']
141	.	.	PUNCT	['PUNCT']
142	Place	place	VERB	['M2', 'X2.2+', 'I3.1', 'Q2.2']
143	wrapper	wrapper	NOUN	['O2']
144	on	on	ADP	['Z5']
145	a	a	DET	['Z5']
146	work	work	NOUN	['I3.1', 'A1.1.1', 'Q4', 'K2', 'C1']
147	surface	surface	NOUN	['T1.3']
148	and	and	CCONJ	['T1.3']
149	top	top	NOUN	['T1.3']
150	with	with	ADP	['Z5']
151	shrimp	shrimp	NOUN	['L2mfnc', 'F1c', 'N3.2-/S2mf']
152	halves	half	NOUN	['N1', 'F2/N5']
153	,	,	PUNCT	['PUNCT']
154	/	/	PUNCT	['PUNCT']
155	of	of	ADP	['Z5']
156	the	the	DET	['Z5']
157	chopped	chop	VERB	['A1.1.1', 'N5-/A2.1']
158	lettuce	lettuce	NOUN	['F1']
159	,	,	PUNCT	['PUNCT']
160	/	/	SYM	['Z99']
161	ounce	ounce	NOUN	['N3.5']
162	vermicelli	vermicelli	PROPN	['Z99']
163	,	,	PUNCT	['PUNCT']
164	and	and	CCONJ	['Z5']
165	/	/	SYM	['Z99']
166	each	each	DET	['N5.1+']
167	of	of	ADP	['Z5']
168	the	the	DET	['Z5']
169	mint	mint	NOUN	['F1', 'I1.1/H1']
170	,	,	PUNCT	['PUNCT']
171	cilantro	cilantro	NOUN	['Z99']
172	,	,	PUNCT	['PUNCT']
173	and	and	CCONJ	['Z5']
174	Thai	Thai	PROPN	['T1.3']
175	basil	basil	NOUN	['T1.3']
176	.	.	PUNCT	['PUNCT']
177	Fold	fold	VERB	['A1.1.1', 'T2-']
178	right	right	ADV	['Z4', 'A5.3+', 'A4.2+', 'M6', 'A13.3', 'A13.2']
179	and	and	CCONJ	['Z5']
180	left	leave	VERB	['M1', 'M2', 'A1.1.1', 'A1.9', 'A9-', 'N5.2+', 'T2-']
181	edges	edge	NOUN	['Df/A5.1+++mfnc']
182	of	of	ADP	['Df/A5.1+++mfnc']
183	the	the	DET	['Df/A5.1+++mfnc']
184	wrapper	wrapper	NOUN	['Df/A5.1+++mfnc']
185	over	over	ADP	['Z5']
186	the	the	DET	['Z5']
187	ends	end	NOUN	['Df/A5.1+++mfnc']
188	of	of	ADP	['Df/A5.1+++mfnc']
189	the	the	DET	['Df/A5.1+++mfnc']
190	filling	filling	NOUN	['Df/A5.1+++mfnc']
191	and	and	CCONJ	['Z5']
192	roll	roll	VERB	['M1', 'M2', 'A1.1.1']
193	up	up	ADP	['Z5']
194	the	the	DET	['Z5']
195	spring	spring	NOUN	['F1']
196	roll	roll	NOUN	['F1']
197	.	.	PUNCT	['PUNCT']
198	Repeat	repeat	VERB	['N6+', 'Q2.1/N6+', 'F1/B1@']
199	with	with	ADP	['Z5']
200	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
201	wrappers	wrapper	NOUN	['T1.3']
202	and	and	CCONJ	['T1.3']
203	ingredients	ingredient	NOUN	['T1.3']
204	.	.	PUNCT	['PUNCT']
205	Cut	cut	VERB	['A1.1.1', 'N5-/A2.1', 'T2-', 'M1', 'Q4.3', 'K5.1', 'B1', 'F3']
206	each	each	DET	['N6+']
207	roll	roll	NOUN	['N6+']
208	in	in	ADP	['A2.1+']
209	half	half	NOUN	['A2.1+']
210	and	and	CCONJ	['Z5']
211	serve	serve	VERB	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
212	with	with	ADP	['Z5']
213	dipping	dipping	NOUN	['F1']
214	sauce	sauce	NOUN	['F1']
215	.	.	PUNCT	['PUNCT']

1	Melt	melt	VERB	['A2.1+', 'O4.6+']
2	butter	butter	NOUN	['F1']
3	in	in	ADP	['Z5']
4	a	a	DET	['Z5']
5	skillet	skillet	NOUN	['Z99']
6	over	over	ADP	['Z5']
7	medium	medium	ADJ	['N3.2', 'N3.1']
8	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
9	;	;	PUNCT	['PUNCT']
10	stir	stir	VERB	['A1.1.1', 'M1']
11	flour	flour	NOUN	['F1']
12	into	into	ADP	['Z5']
13	butter	butter	NOUN	['F1']
14	until	until	ADP	['Z5']
15	smooth	smooth	ADJ	['O4.5']
16	.	.	PUNCT	['PUNCT']
17	Add	add	VERB	['N5+/A2.1', 'N2', 'A1.8+']
18	onion	onion	NOUN	['F1']
19	to	to	ADP	['Z5']
20	flour	flour	NOUN	['F1']
21	-	-	PUNCT	['PUNCT']
22	butter	butter	NOUN	['F1']
23	mixture	mixture	NOUN	['O1.1', 'A6.3+']
24	;	;	PUNCT	['PUNCT']
25	cook	cook	VERB	['F1']
26	and	and	CCONJ	['Z5']
27	stir	stir	VERB	['A1.1.1', 'M1']
28	until	until	ADP	['Z5']
29	onion	onion	NOUN	['F1']
30	is	be	AUX	['A3+', 'Z5']
31	softened	soften	VERB	['O4.5', 'A2.1+', 'S1.2.5-', 'S1.2.1+', 'O4.1']
32	,	,	PUNCT	['PUNCT']
33	to	to	ADP	['Z5']
34	minutes	minute	NOUN	['T1.3', 'Q1.2']
35	.	.	PUNCT	['PUNCT']
36	Mix	mix	VERB	['A2.1+', 'S1.1.3+', 'K3']
37	black	black	ADJ	['O4.3', 'G2.2-', 'A5.1-', 'E4.1-', 'S5+']
38	olives	olive	NOUN	['F1', 'L3', 'O4.3']
39	,	,	PUNCT	['PUNCT']
40	lemon	lemon	NOUN	['F1', 'L3', 'F2', 'O4.3']
41	juice	juice	NOUN	['F2', 'O1.2']
42	,	,	PUNCT	['PUNCT']
43	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
44	,	,	PUNCT	['PUNCT']
45	paprika	paprika	NOUN	['Z99']
46	,	,	PUNCT	['PUNCT']
47	black	black	ADJ	['F1']
48	pepper	pepper	NOUN	['F1']
49	,	,	PUNCT	['PUNCT']
50	and	and	CCONJ	['Z5']
51	salt	salt	NOUN	['F1', 'O1.1']
52	into	into	ADP	['Z5']
53	onion	onion	NOUN	['F1']
54	mixture	mixture	NOUN	['O1.1', 'A6.3+']
55	;	;	PUNCT	['PUNCT']
56	cook	cook	VERB	['F1']
57	and	and	CCONJ	['Z5']
58	stir	stir	VERB	['A1.1.1', 'M1']
59	until	until	ADP	['Z5']
60	heated	heat	VERB	['O4.6+']
61	through	through	ADP	['Z5']
62	,	,	PUNCT	['PUNCT']
63	about	about	ADP	['Z5']
64	minutes	minute	NOUN	['T1.3', 'Q1.2']
65	.	.	PUNCT	['PUNCT']
66	Stir	stir	VERB	['A1.1.1', 'M1']
67	chicken	chicken	NOUN	['L2mfn', 'F1', 'E5-/S2mf']
68	into	into	ADP	['Z5']
69	mixture	mixture	NOUN	['O1.1', 'A6.3+']
70	and	and	CCONJ	['Z5']
71	remove	remove	VERB	['M2']
72	skillet	skillet	NOUN	['Z99']
73	from	from	ADP	['Z5']
74	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
75	and	and	CCONJ	['Z5']
76	cover	cover	VERB	['A10-', 'M1', 'N3.6', 'S8+', 'I1.1', 'A1.8+', 'N5', 'Q2.1', 'A1.1.1']
77	.	.	PUNCT	['PUNCT']
78	Heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
79	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
80	in	in	ADP	['Z5']
81	a	a	DET	['Z5']
82	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
83	,	,	PUNCT	['PUNCT']
84	heavy	heavy	ADJ	['N3.5+', 'S1.2.5+', 'N5+', 'O4.1', 'E4.1-', 'W4', 'A12-', 'A1.1.1', 'N3.2+', 'A1.1.2@']
85	saucepan	saucepan	NOUN	['O2']
86	or	or	CCONJ	['Z5']
87	deep	deep	ADJ	['N3.7+', 'N5+', 'O4.3', 'A4.2+', 'E4.1-', 'X3.2']
88	-	-	PUNCT	['PUNCT']
89	fryer	fryer	NOUN	['F1/O3', 'F1/S2mf']
90	.	.	PUNCT	['PUNCT']
91	Fill	fill	VERB	['N5.1+', 'I3.1', 'Q1.2@']
92	tortillas	tortillas	PROPN	['Z99']
93	with	with	ADP	['Z5']
94	chicken	chicken	NOUN	['L2mfn', 'F1', 'E5-/S2mf']
95	mixture	mixture	NOUN	['O1.1', 'A6.3+']
96	.	.	PUNCT	['PUNCT']
97	Roll	roll	NOUN	['O2', 'F1', 'Q1.2', 'M1']
98	tortilla	tortilla	NOUN	['F1']
99	around	around	ADP	['Z5']
100	filling	fill	VERB	['N5.1+', 'I3.1', 'Q1.2@']
101	and	and	CCONJ	['Z5']
102	secure	secure	ADJ	['A7+', 'A15+', 'A1.7+', 'E6+']
103	with	with	ADP	['Z5']
104	a	a	DET	['Z5']
105	toothpick	toothpick	NOUN	['B4']
106	.	.	PUNCT	['PUNCT']
107	Fry	Fry	PROPN	['Z1']
108	the	the	DET	['Z5']
109	rolled	roll	VERB	['M1', 'M2', 'A1.1.1']
110	tortillas	tortillas	PROPN	['Z99']
111	,	,	PUNCT	['PUNCT']
112	working	work	VERB	['I3.1', 'A1.1.1', 'X9.2+', 'A2.1+', 'A2.2']
113	in	in	ADP	['Z5']
114	batches	batch	NOUN	['N5']
115	,	,	PUNCT	['PUNCT']
116	in	in	ADP	['Z5']
117	the	the	DET	['Z5']
118	hot	hot	ADJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
119	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
120	until	until	ADP	['Z5']
121	browned	brown	VERB	['O4.3']
122	,	,	PUNCT	['PUNCT']
123	about	about	ADP	['Z5']
124	minutes	minute	NOUN	['T1.3', 'Q1.2']
125	.	.	PUNCT	['PUNCT']
126	Transfer	transfer	NOUN	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5', 'C1']
127	fried	fry	VERB	['F1']
128	tortillas	tortilla	NOUN	['F1']
129	to	to	ADP	['Z5']
130	a	a	DET	['Z5']
131	paper	paper	NOUN	['B4/B5']
132	towel	towel	NOUN	['B4/B5']
133	-	-	PUNCT	['PUNCT']
134	lined	line	VERB	['A1.1.1']
135	plate	plate	NOUN	['O2', 'C1', 'B3']
136	using	use	VERB	['A1.5.1', 'S7.1+']
137	a	a	DET	['Z5']
138	slotted	slotted	ADJ	['O4.1']
139	spoon	spoon	NOUN	['O2']
140	or	or	CCONJ	['Z5']
141	tongs	tong	NOUN	['O2']
142	.	.	PUNCT	['PUNCT']

1	Preheat	preheat	NOUN	['Z99']
2	oven	oven	VERB	['O2/F1']
3	to	to	PART	['Z5']
4	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	PROPN	['Z5']
6	(	(	PUNCT	['PUNCT']
7	degrees	degree	NOUN	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	PROPN	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	PUNCT	['PUNCT']
10	.	.	PUNCT	['PUNCT']
11	Lightly	lightly	ADV	['N6-', 'N3.5-', 'E3+', 'N5-', 'A12+']
12	coat	coat	PROPN	['Z1mf', 'T1.3']
13	mini	mini	ADJ	['Z1mf', 'T1.3']
14	-	-	ADJ	['Z99']
15	muffin	muffin	ADJ	['F1']
16	cups	cup	NOUN	['O2', 'S7.3+', 'A5.1+/O2']
17	with	with	ADP	['Z5']
18	cooking	cooking	NOUN	['F1']
19	spray	spray	NOUN	['A1.1.1', 'O2', 'N5', 'B3']
20	.	.	PUNCT	['PUNCT']
21	Heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
22	olive	olive	NOUN	['F1']
23	oil	oil	NOUN	['F1']
24	in	in	ADP	['Z5']
25	a	a	DET	['Z5']
26	skillet	skillet	NOUN	['Z99']
27	over	over	ADP	['Z5']
28	medium	medium	ADJ	['N3.2', 'N3.1']
29	-	-	PUNCT	['PUNCT']
30	low	low	ADJ	['N3.7-', 'N5-', 'A5.1-', 'A11.1-', 'E4.1-', 'X3.2-', 'G2.2-', 'S7.1-']
31	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
32	.	.	PUNCT	['PUNCT']
33	Cook	cook	VERB	['F1']
34	and	and	CCONJ	['Z5']
35	stir	stir	VERB	['A1.1.1', 'M1']
36	chorizo	chorizo	NOUN	['Z99']
37	in	in	ADP	['Z5']
38	the	the	DET	['Z5']
39	hot	hot	ADJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
40	oil	oil	NOUN	['O1.2', 'C1', 'C1/O1']
41	until	until	ADP	['Z5']
42	golden	golden	PROPN	['Z1mf', 'Z3c']
43	brown	brown	PROPN	['Z1mf', 'Z3c']
44	,	,	PUNCT	['PUNCT']
45	about	about	ADP	['Z5']
46	minutes	minute	NOUN	['T1.3', 'Q1.2']
47	.	.	PUNCT	['PUNCT']
48	Stir	stir	VERB	['A1.1.1', 'M1']
49	diced	dice	VERB	['A15-']
50	potato	potato	NOUN	['L3/F1']
51	into	into	ADP	['Z5']
52	chorizo	chorizo	PROPN	['Z99']
53	;	;	PUNCT	['PUNCT']
54	increase	increase	VERB	['N5+/A2.1']
55	heat	heat	NOUN	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
56	to	to	ADP	['Z5']
57	medium	medium	NOUN	['T1.3']
58	and	and	CCONJ	['T1.3']
59	cook	cook	NOUN	['T1.3']
60	potatoes	potato	NOUN	['L3/F1']
61	until	until	ADP	['Z5']
62	tender	tender	NOUN	['I2.2']
63	,	,	PUNCT	['PUNCT']
64	about	about	ADP	['Z5']
65	minutes	minute	NOUN	['T1.3', 'Q1.2']
66	.	.	PUNCT	['PUNCT']
67	Season	season	NOUN	['T1.3']
68	with	with	ADP	['Z5']
69	salt	salt	NOUN	['F1', 'O1.1']
70	and	and	CCONJ	['Z5']
71	black	black	ADJ	['F1']
72	pepper	pepper	NOUN	['F1']
73	.	.	PUNCT	['PUNCT']
74	Transfer	transfer	NOUN	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5', 'C1']
75	to	to	ADP	['Z5']
76	a	a	DET	['Z5']
77	plate	plate	NOUN	['O4.1']
78	lined	line	VERB	['O4.1']
79	with	with	ADP	['Z5']
80	paper	paper	NOUN	['B4/B5']
81	towels	towel	NOUN	['B4/B5']
82	to	to	PART	['Z5']
83	drain	drain	VERB	['M2/N5.1-', 'M1', 'O4.5', 'A10-', 'B2-']
84	.	.	PUNCT	['PUNCT']
85	Sprinkle	sprinkle	VERB	['A1.1.1']
86	to	to	ADP	['Z5']
87	teaspoons	teaspoon	NOUN	['O2', 'N5']
88	of	of	ADP	['Z5']
89	grated	grated	ADJ	['O4.1']
90	cheese	cheese	NOUN	['F1']
91	in	in	ADP	['Z5']
92	the	the	DET	['Z5']
93	bottom	bottom	NOUN	['N4', 'M6', 'B1', 'A5.1---']
94	of	of	ADP	['Z5']
95	each	each	DET	['N5.1+']
96	muffin	muffin	PROPN	['Z1mf', 'Z3c']
97	cup	cup	PROPN	['Z1mf', 'Z3c']
98	.	.	PUNCT	['PUNCT']
99	Top	top	ADJ	['M6', 'N5.1+', 'A11.1+++', 'S7.1+++', 'N4', 'X9.1+++', 'A5.1+++']
100	with	with	ADP	['Z5']
101	to	to	ADP	['Z5']
102	tablespoons	tablespoon	NOUN	['O2/F1']
103	chorizo	chorizo	VERB	['Z99']
104	mixture	mixture	NOUN	['O1.1', 'A6.3+']
105	.	.	PUNCT	['PUNCT']
106	Beat	beat	ADJ	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
107	eggs	egg	NOUN	['L2', 'F1']
108	,	,	PUNCT	['PUNCT']
109	cayenne	cayenne	NOUN	['Z99']
110	pepper	pepper	NOUN	['F1']
111	,	,	PUNCT	['PUNCT']
112	and	and	CCONJ	['Z5']
113	/	/	SYM	['Z99']
114	teaspoon	teaspoon	NOUN	['O2', 'N5']
115	salt	salt	NOUN	['F1', 'O1.1']
116	in	in	ADP	['Z5']
117	a	a	DET	['Z5']
118	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
119	bowl	bowl	NOUN	['O2']
120	until	until	ADP	['Z5']
121	combined	combine	VERB	['A2.2', 'A1.8+', 'S5+c', 'F4']
122	.	.	PUNCT	['PUNCT']
123	Pour	pour	VERB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
124	egg	egg	NOUN	['L2', 'F1']
125	mixture	mixture	NOUN	['O1.1', 'A6.3+']
126	evenly	evenly	ADV	['N6+', 'A6.1+']
127	into	into	ADP	['Z5']
128	muffin	muffin	NOUN	['F1']
129	cups	cup	NOUN	['O2', 'S7.3+', 'A5.1+/O2']
130	.	.	PUNCT	['PUNCT']
131	Lightly	lightly	ADV	['N6-', 'N3.5-', 'E3+', 'N5-', 'A12+']
132	tap	tap	VERB	['A1.1.1', 'X3.2', 'A1.5.1', 'Q2.2', 'G1.1/Q1.3', 'F4%']
133	the	the	DET	['Z5']
134	pans	pan	NOUN	['O2']
135	to	to	PART	['Z5']
136	remove	remove	VERB	['M2']
137	any	any	DET	['N5.1+', 'N5']
138	air	air	NOUN	['O1.3', 'A8', 'W1', 'Q4.3', 'M1']
139	bubbles	bubble	NOUN	['O2']
140	.	.	PUNCT	['PUNCT']
141	Transfer	transfer	VERB	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5']
142	to	to	ADP	['Z5']
143	a	a	DET	['Z5']
144	baking	bake	VERB	['O4.6+', 'F1']
145	sheet	sheet	NOUN	['T1.3']
146	and	and	CCONJ	['T1.3']
147	top	top	NOUN	['T1.3']
148	with	with	ADP	['Z5']
149	any	any	DET	['N5.1+', 'N5']
150	remaining	remain	VERB	['T2++', 'M8', 'N5.2+']
151	cheese	cheese	NOUN	['F1']
152	.	.	PUNCT	['PUNCT']
153	Bake	Bake	PROPN	['F1', 'O4.6']
154	in	in	ADP	['Z5']
155	the	the	DET	['Z5']
156	preheated	preheated	ADJ	['N4/O4.6+']
157	oven	oven	ADV	['O2/F1']
158	until	until	ADP	['Z5']
159	eggs	egg	NOUN	['L2', 'F1']
160	golden	golden	ADJ	['T1.3']
161	brown	brown	PROPN	['T1.3']
162	and	and	CCONJ	['Z5']
163	just	just	ADV	['A14', 'T3---', 'T1.3-', 'N3.3---']
164	set	set	VERB	['M2', 'M6', 'O4.5', 'O4.1', 'W4', 'A1.1.1', 'B3', 'B4', 'X6+', 'S6+', 'K2', 'Q4.3']
165	,	,	PUNCT	['PUNCT']
166	about	about	ADP	['Z5']
167	minutes	minute	NOUN	['T1.3', 'Q1.2']
168	.	.	PUNCT	['PUNCT']

1	Line	line	VERB	['A1.1.1']
2	a	a	DET	['Z5']
3	large	large	ADJ	['N3.2+', 'N5+', 'A11.1+']
4	colander	colander	NOUN	['Z99']
5	with	with	ADP	['Z5']
6	a	a	DET	['Z5']
7	cheesecloth	cheesecloth	NOUN	['Z99']
8	.	.	PUNCT	['PUNCT']
9	Stir	stir	VERB	['A1.1.1', 'M1']
10	salt	salt	NOUN	['F1', 'O1.1']
11	into	into	ADP	['Z5']
12	the	the	DET	['Z5']
13	yogurt	yogurt	NOUN	['F1']
14	,	,	PUNCT	['PUNCT']
15	and	and	CCONJ	['Z5']
16	pour	pour	VERB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
17	the	the	DET	['Z5']
18	yogurt	yogurt	NOUN	['F1']
19	into	into	ADP	['Z5']
20	the	the	DET	['Z5']
21	cheesecloth	cheesecloth	NOUN	['Z99']
22	.	.	PUNCT	['PUNCT']
23	Set	set	VERB	['M2', 'M6', 'O4.5', 'O4.1', 'W4', 'A1.1.1', 'B3', 'B4', 'X6+', 'S6+', 'K2', 'Q4.3']
24	the	the	DET	['Z5']
25	colander	colander	NOUN	['Z99']
26	in	in	ADP	['Z5']
27	the	the	DET	['Z5']
