Index	Text	Lemma	POS
2	cream	cream	NN
3	cheese	cheese	NN
4	,	,	,
5	sour	sour	JJ
6	cream	cream	NN
7	,	,	,
8	and	and	CC
9	mayonnaise	mayonnaise	NN
10	in	in	IN
11	a	a	DT
12	blender	blender	NN
13	;	;	:
14	puree	puree	NN
15	until	until	IN
16	smooth	smooth	JJ
17	.	.	.
18	Sprinkle	sprinkle	VB
19	in	in	IN
20	the	the	DT
21	ranch	ranch	NN
22	dressing	dress	VBG
23	mix	mix	NN
24	,	,	,
25	green	green	JJ
26	onions	onion	NNS
27	,	,	,
28	and	and	CC
29	optional	optional	JJ
30	jalapeno	jalapeno	NN
31	;	;	:
32	puree	puree	NN
33	until	until	IN
34	well	well	UH
35	combined	combine	VBN
36	.	.	.
37	For	for	IN
38	best	good	JJS
39	results	result	NNS
40	,	,	,
41	refrigerate	refrigerate	VBP
42	overnight	overnight	RB
43	before	before	IN
44	serving	serve	VBG
45	.	.	.

1	Cream	cream	NN
2	together	together	RB
3	the	the	DT
4	cream	cream	NN
5	cheese	cheese	NN
6	and	and	CC
7	sugar	sugar	NN
8	until	until	IN
9	well	well	UH
10	combined	combine	VBN
11	.	.	.
12	Stir	stir	VB
13	in	in	IN
14	the	the	DT
15	vanilla	vanilla	NN
16	extract	extract	NN
17	and	and	CC
18	then	then	RB
19	the	the	DT
20	whipped	whip	VBN
21	topping	top	VBG
22	.	.	.
23	Chill	Chill	NNP
24	in	in	IN
25	refrigerator	refrigerator	NN
26	hour	hour	NN
27	.	.	.

1	In	in	IN
2	a	a	DT
3	small	small	JJ
4	bowl	bowl	NN
5	mix	mix	NN
6	butter	butter	NN
7	and	and	CC
8	honey	honey	NN
9	until	until	IN
10	smooth	smooth	JJ
11	.	.	.
12	Store	store	NN
13	,	,	,
14	covered	cover	VBN
15	,	,	,
16	in	in	IN
17	the	the	DT
18	refrigerator	refrigerator	NN
19	.	.	.

1	In	in	IN
2	a	a	DT
3	large	large	JJ
4	bowl	bowl	NN
5	with	with	IN
6	enough	enough	JJ
7	lightly	lightly	RB
8	salted	salt	VBN
9	water	water	NN
10	to	to	TO
11	cover	cover	VB
12	,	,	,
13	place	place	VB
14	the	the	DT
15	cauliflower	cauliflower	NN
16	,	,	,
17	pearl	pearl	NN
18	onions	onion	NNS
19	,	,	,
20	red	red	JJ
21	bell	bell	NN
22	peppers	pepper	NNS
23	,	,	,
24	green	green	JJ
25	bell	bell	NN
26	peppers	pepper	NNS
27	,	,	,
28	celery	celery	NN
29	and	and	CC
30	cucumbers	cucumber	NNS
31	.	.	.
32	Soak	soak	VB
33	to	to	TO
34	hours	hour	NNS
35	,	,	,
36	or	or	CC
37	overnight	overnight	RB
38	.	.	.
39	In	in	IN
40	a	a	DT
41	small	small	JJ
42	bowl	bowl	NN
43	with	with	IN
44	enough	enough	JJ
45	lightly	lightly	RB
46	salted	salt	VBN
47	water	water	NN
48	to	to	TO
49	cover	cover	VB
50	,	,	,
51	place	place	VB
52	the	the	DT
53	carrots	carrot	NNS
54	.	.	.
55	Soak	soak	VB
56	to	to	TO
57	hours	hour	NNS
58	,	,	,
59	or	or	CC
60	overnight	overnight	RB
61	.	.	.
62	In	in	IN
63	a	a	DT
64	large	large	JJ
65	saucepan	saucepan	NN
66	,	,	,
67	place	place	VB
68	the	the	DT
69	vegetable	vegetable	NN
70	oil	oil	NN
71	,	,	,
72	vinegar	vinegar	NN
73	,	,	,
74	tomato	tomato	NN
75	paste	paste	NN
76	and	and	CC
77	pickling	pickle	VBG
78	spice	spice	NN
79	.	.	.
80	Bring	bring	VB
81	the	the	DT
82	mixture	mixture	NN
83	to	to	IN
84	a	a	DT
85	boil	boil	NN
86	.	.	.
87	Drain	drain	NN
88	and	and	CC
89	rinse	rinse	VB
90	the	the	DT
91	carrots	carrot	NNS
92	,	,	,
93	and	and	CC
94	place	place	VB
95	them	they	PRP
96	in	in	IN
97	the	the	DT
98	mixture	mixture	NN
99	.	.	.
100	Boil	Boil	NNP
101	minutes	minute	NNS
102	.	.	.
103	Drain	drain	VB
104	and	and	CC
105	rinse	rinse	VB
106	the	the	DT
107	vegetables	vegetable	NNS
108	in	in	IN
109	the	the	DT
110	cauliflower	cauliflower	NN
111	mixture	mixture	NN
112	.	.	.
113	Place	place	VB
114	them	they	PRP
115	into	into	IN
116	the	the	DT
117	saucepan	saucepan	NN
118	.	.	.
119	Cook	cook	VB
120	minutes	minute	NNS
121	,	,	,
122	or	or	CC
123	until	until	IN
124	the	the	DT
125	cauliflower	cauliflower	NN
126	is	be	VBZ
127	tender	tender	JJ
128	but	but	CC
129	crisp	crisp	JJ
130	.	.	.
131	Stir	stir	VB
132	black	black	JJ
133	olives	olive	NNS
134	,	,	,
135	green	green	JJ
136	olives	olive	NNS
137	,	,	,
138	mushrooms	mushroom	NNS
139	and	and	CC
140	tuna	tuna	NN
141	into	into	IN
142	the	the	DT
143	mixture	mixture	NN
144	.	.	.
145	Remove	remove	VB
146	the	the	DT
147	mixture	mixture	NN
148	from	from	IN
149	heat	heat	NN
150	.	.	.
151	Discard	discard	VB
152	the	the	DT
153	wrapped	wrap	VBN
154	pickling	pickle	VBG
155	spice	spice	NN
156	.	.	.
157	While	while	IN
158	still	still	RB
159	hot	hot	JJ
160	,	,	,
161	transfer	transfer	NN
162	to	to	IN
163	sterile	sterile	JJ
164	containers	container	NNS
165	and	and	CC
166	refrigerate	refrigerate	VB
167	.	.	.

1	In	in	IN
2	a	a	DT
3	medium-sized	medium-sized	JJ
4	mixing	mix	VBG
5	bowl	bowl	NN
6	,	,	,
7	combine	combine	VB
8	sour	sour	JJ
9	cream	cream	NN
10	,	,	,
11	cream	cream	NN
12	cheese	cheese	NN
13	,	,	,
14	mayonnaise	mayonnaise	NN
15	,	,	,
16	Worcestershire	worcestershire	NN
17	sauce	sauce	NN
18	,	,	,
19	parsley	parsley	NN
20	,	,	,
21	onion	onion	NN
22	salt	salt	NN
23	,	,	,
24	celery	celery	NN
25	salt	salt	NN
26	and	and	CC
27	garlic	garlic	NN
28	salt	salt	NN
29	.	.	.
30	Mix	mix	VB
31	well	well	RB
32	.	.	.
33	Fold	fold	VB
34	in	in	IN
35	drained	drain	VBN
36	shrimp	shrimp	NN
37	meat	meat	NN
38	.	.	.
39	Cover	cover	NN
40	and	and	CC
41	chill	chill	NN
42	at	at	IN
43	least	least	JJS
44	hours	hour	NNS
45	,	,	,
46	to	to	TO
47	allow	allow	VB
48	flavors	flavor	NNS
49	to	to	IN
50	blend	blend	NN
51	.	.	.

1	Place	Place	NNP
2	eggs	egg	NNS
3	in	in	IN
4	a	a	DT
5	large	large	JJ
6	pot	pot	NN
7	of	of	IN
8	cool	cool	JJ
9	water	water	NN
10	.	.	.
11	Bring	bring	VB
12	water	water	NN
13	to	to	IN
14	a	a	DT
15	boil	boil	NN
16	.	.	.
17	Let	let	VB
18	water	water	NN
19	boil	boil	NN
20	for	for	IN
21	to	to	IN
22	minutes	minute	NNS
23	.	.	.
24	Plunge	plunge	VB
25	the	the	DT
26	eggs	egg	NNS
27	in	in	IN
28	cold	cold	JJ
29	water	water	NN
30	.	.	.
31	When	when	WRB
32	eggs	egg	NNS
33	are	be	VBP
34	cool	cool	JJ
35	enough	enough	RB
36	,	,	,
37	remove	remove	VB
38	their	they	PRP$
39	shells	shell	NNS
40	and	and	CC
41	cut	cut	VB
42	them	they	PRP
43	in	in	IN
44	half	half	NN
45	lengthwise	lengthwise	RB
46	to	to	TO
47	remove	remove	VB
48	the	the	DT
49	yolk	yolk	NN
50	.	.	.
51	Place	place	VB
52	the	the	DT
53	yolks	yolk	NNS
54	in	in	IN
55	a	a	DT
56	medium-size	medium-size	JJ
57	mixing	mix	VBG
58	bowl	bowl	NN
59	and	and	CC
60	mash	mash	VB
61	them	they	PRP
62	well	well	RB
63	.	.	.
64	Mix	mix	VB
65	mustard	mustard	NN
66	,	,	,
67	Worcestershire	worcestershire	NN
68	sauce	sauce	NN
69	,	,	,
70	hot	hot	JJ
71	sauce	sauce	NN
72	,	,	,
73	celery	celery	NN
74	salt	salt	NN
75	,	,	,
76	and	and	CC
77	softened	soften	VBN
78	butter	butter	NN
79	into	into	IN
80	the	the	DT
81	mixing	mix	VBG
82	bowl	bowl	NN
83	with	with	IN
84	the	the	DT
85	yolks	yolk	NNS
86	.	.	.
87	Blend	blend	NN
88	mixture	mixture	NN
89	until	until	IN
90	smooth	smooth	JJ
91	.	.	.
92	Scoop	scoop	VB
93	mixture	mixture	NN
94	into	into	IN
95	the	the	DT
96	hollowed	hollow	VBN
97	portion	portion	NN
98	of	of	IN
99	the	the	DT
100	eggs	egg	NNS
101	.	.	.
102	Refrigerate	refrigerate	VB
103	one	one	CD
104	hour	hour	NN
105	and	and	CC
106	serve	serve	VB
107	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	Lightly	lightly	RB
12	grease	grease	VBP
13	a	a	DT
14	large	large	JJ
15	baking	baking	NN
16	sheet	sheet	NN
17	.	.	.
18	In	in	IN
19	a	a	DT
20	medium	medium	JJ
21	bowl	bowl	NN
22	,	,	,
23	mix	mix	VB
24	together	together	RB
25	Italian	Italian	JJ
26	sausage	sausage	NN
27	,	,	,
28	baking	bake	VBG
29	mix	mix	NN
30	,	,	,
31	green	green	JJ
32	bell	bell	NN
33	pepper	pepper	NN
34	,	,	,
35	yellow	yellow	JJ
36	onion	onion	NN
37	,	,	,
38	mozzarella	mozzarella	NN
39	cheese	cheese	NN
40	and	and	CC
41	pizza	pizza	NN
42	sauce	sauce	NN
43	.	.	.
44	Gradually	gradually	RB
45	stir	stir	VB
46	in	in	IN
47	water	water	NN
48	until	until	IN
49	the	the	DT
50	mixture	mixture	NN
51	is	be	VBZ
52	a	a	DT
53	workable	workable	JJ
54	consistency	consistency	NN
55	.	.	.
56	Roll	roll	VB
57	into	into	IN
58	inch	inch	NN
59	balls	ball	NNS
60	.	.	.
61	Arrange	arrange	VB
62	pizza	pizza	NN
63	balls	ball	NNS
64	on	on	IN
65	the	the	DT
66	baking	baking	NN
67	sheet	sheet	NN
68	.	.	.
69	Bake	bake	VB
70	in	in	IN
71	the	the	DT
72	preheated	preheated	JJ
73	oven	oven	JJ
74	minutes	minute	NNS
75	,	,	,
76	or	or	CC
77	until	until	IN
78	lightly	lightly	RB
79	browned	brown	VBN
80	.	.	.
81	Serve	serve	VB
82	hot	hot	JJ
83	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	Drizzle	drizzle	NN
12	about	about	RB
13	/	/	,
14	teaspoons	teaspoon	NNS
15	olive	olive	JJ
16	oil	oil	NN
17	into	into	IN
18	the	the	DT
19	bottom	bottom	NN
20	of	of	IN
21	each	each	DT
22	ounce	ounce	NN
23	ramekin	ramekin	NN
24	and	and	CC
25	sprinkle	sprinkle	VB
26	about	about	IN
27	tablespoon	tablespoon	NN
28	basil	basil	NN
29	per	per	IN
30	ramekin	ramekin	NN
31	over	over	IN
32	the	the	DT
33	oil	oil	NN
34	.	.	.
35	Place	place	VB
36	goat	goat	NN
37	cheese	cheese	NN
38	piece	piece	NN
39	over	over	IN
40	the	the	DT
41	basil	basil	NN
42	in	in	IN
43	each	each	DT
44	ramekin	ramekin	NN
45	;	;	:
46	surround	surround	VB
47	with	with	IN
48	sliced	slice	VBN
49	cherry	cherry	NN
50	tomatoes	tomato	NNS
51	.	.	.
52	Top	top	JJ
53	with	with	IN
54	cracked	crack	VBN
55	black	black	JJ
56	pepper	pepper	NN
57	and	and	CC
58	cayenne	cayenne	NN
59	.	.	.
60	Spread	spread	NN
61	/	/	HYPH
62	teaspoon	teaspoon	NN
63	of	of	IN
64	the	the	DT
65	remaining	remain	VBG
66	basil	basil	NN
67	on	on	IN
68	top	top	NN
69	of	of	IN
70	each	each	DT
71	portion	portion	NN
72	,	,	,
73	place	place	NN
74	ramekins	ramekin	NNS
75	on	on	IN
76	a	a	DT
77	baking	baking	NN
78	sheet	sheet	NN
79	,	,	,
80	and	and	CC
81	drizzle	drizzle	VB
82	each	each	DT
83	serving	serve	VBG
84	with	with	IN
85	/	/	HYPH
86	teaspoons	teaspoon	NNS
87	more	more	RBR
88	olive	olive	JJ
89	oil	oil	NN
90	.	.	.
91	Bake	bake	VB
92	in	in	IN
93	the	the	DT
94	preheated	preheated	JJ
95	oven	oven	NN
96	until	until	IN
97	bubbling	bubble	VBG
98	,	,	,
99	about	about	IN
100	minutes	minute	NNS
101	.	.	.
102	Serve	serve	VB
103	warm	warm	JJ
104	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	Place	place	VB
12	a	a	DT
13	steamer	steamer	NN
14	insert	insert	NN
15	into	into	IN
16	a	a	DT
17	saucepan	saucepan	NN
18	and	and	CC
19	fill	fill	VB
20	with	with	IN
21	water	water	NN
22	to	to	TO
23	just	just	RB
24	below	below	IN
25	the	the	DT
26	bottom	bottom	NN
27	of	of	IN
28	the	the	DT
29	steamer	steamer	NN
30	.	.	.
31	Bring	bring	VB
32	water	water	NN
33	to	to	IN
34	a	a	DT
35	boil	boil	NN
36	.	.	.
37	Add	add	VB
38	chicken	chicken	NN
39	wings	wing	NNS
40	,	,	,
41	put	put	VBD
42	lid	lid	NN
43	on	on	IN
44	steamer	steamer	NN
45	,	,	,
46	and	and	CC
47	steam	steam	NN
48	wings	wing	NNS
49	until	until	IN
50	no	no	DT
51	longer	long	JJR
52	pink	pink	NN
53	at	at	IN
54	the	the	DT
55	bone	bone	NN
56	and	and	CC
57	the	the	DT
58	juices	juice	NNS
59	run	run	VBP
60	clear	clear	JJ
61	,	,	,
62	about	about	IN
63	minutes	minute	NNS
64	.	.	.
65	An	a	DT
66	instant-read	instant-read	JJ
67	thermometer	thermometer	NN
68	inserted	insert	VBN
69	near	near	IN
70	the	the	DT
71	bone	bone	NN
72	should	should	MD
73	read	read	VB
74	degrees	degree	NNS
75	F	f	NN
76	(	(	-LRB-
77	degrees	degree	NNS
78	C	c	NN
79	)	)	-RRB-
80	.	.	.
81	Spread	spread	NN
82	chicken	chicken	NN
83	wings	wing	NNS
84	onto	onto	IN
85	a	a	DT
86	platter	platter	NN
87	to	to	TO
88	cool	cool	VB
89	;	;	:
90	pat	pat	VB
91	dry	dry	JJ
92	with	with	IN
93	paper	paper	NN
94	towel	towel	NN
95	.	.	.
96	Spread	spread	NN
97	wings	wing	NNS
98	onto	onto	IN
99	a	a	DT
100	rimmed	rimmed	JJ
101	baking	baking	NN
102	sheet	sheet	NN
103	;	;	:
104	season	season	NN
105	with	with	IN
106	salt	salt	NN
107	and	and	CC
108	pepper	pepper	NN
109	.	.	.
110	Bake	bake	VB
111	wings	wing	NNS
112	in	in	IN
113	preheated	preheated	JJ
114	oven	oven	NN
115	for	for	IN
116	minutes	minute	NNS
117	,	,	,
118	flip	flip	NN
119	,	,	,
120	and	and	CC
121	continue	continue	VB
122	to	to	TO
123	bake	bake	VB
124	until	until	IN
125	crispy	crispy	JJ
126	,	,	,
127	about	about	IN
128	minutes	minute	NNS
129	more	more	RBR
130	.	.	.
131	Melt	melt	VB
132	butter	butter	NN
133	in	in	IN
134	a	a	DT
135	saucepan	saucepan	NN
136	over	over	IN
137	low	low	JJ
138	heat	heat	NN
139	.	.	.
140	Stir	stir	VB
141	hot	hot	JJ
142	sauce	sauce	NN
143	,	,	,
144	brown	brown	JJ
145	sugar	sugar	NN
146	,	,	,
147	onion	onion	NN
148	powder	powder	NN
149	,	,	,
150	garlic	garlic	NN
151	powder	powder	NN
152	,	,	,
153	and	and	CC
154	cayenne	cayenne	NN
155	pepper	pepper	NN
156	into	into	IN
157	the	the	DT
158	melted	melt	VBN
159	butter	butter	NN
160	;	;	:
161	cook	cook	NN
162	,	,	,
163	stirring	stir	VBG
164	occasionally	occasionally	RB
165	,	,	,
166	until	until	IN
167	the	the	DT
168	seasonings	seasoning	NNS
169	dissolve	dissolve	VBP
170	into	into	IN
171	the	the	DT
172	liquid	liquid	NN
173	and	and	CC
174	the	the	DT
175	mixture	mixture	NN
176	is	be	VBZ
177	hot	hot	JJ
178	,	,	,
179	about	about	IN
180	minutes	minute	NNS
181	.	.	.
182	Put	put	VB
183	wings	wing	NNS
184	in	in	IN
185	a	a	DT
186	large	large	JJ
187	bowl	bowl	NN
188	;	;	:
189	pour	pour	VB
190	sauce	sauce	NN
191	over	over	IN
192	wings	wing	NNS
193	and	and	CC
194	toss	toss	VB
195	to	to	IN
196	coat	coat	NN
197	.	.	.

1	Preheat	preheat	VB
2	an	a	DT
3	oven	oven	NN
4	to	to	IN
5	degrees	degree	NNS
6	F	f	NN
7	(	(	-LRB-
8	degrees	degree	NNS
9	C	c	NN
10	)	)	-RRB-
11	.	.	.
12	Spray	spray	VB
13	a	a	DT
14	large	large	JJ
15	heavy	heavy	JJ
16	roasting	roast	VBG
17	pan	pan	NN
18	with	with	IN
19	cooking	cooking	NN
20	spray	spray	NN
21	.	.	.
22	Mix	mix	VB
23	black	black	JJ
24	pepper	pepper	NN
25	,	,	,
26	white	white	JJ
27	pepper	pepper	NN
28	,	,	,
29	cayenne	cayenne	NN
30	pepper	pepper	NN
31	,	,	,
32	paprika	paprika	NN
33	,	,	,
34	and	and	CC
35	dried	dry	VBN
36	thyme	thyme	NN
37	in	in	IN
38	a	a	DT
39	small	small	JJ
40	bowl	bowl	NN
41	.	.	.
42	Set	set	VB
43	aside	aside	RB
44	.	.	.
45	Whisk	whisk	VB
46	egg	egg	NN
47	whites	whites	NNS
48	in	in	IN
49	a	a	DT
50	large	large	JJ
51	bowl	bowl	NN
52	until	until	IN
53	foamy	foamy	NN
54	.	.	.
55	Add	add	VB
56	Worcestershire	Worcestershire	NNP
57	,	,	,
58	hot	hot	JJ
59	sauce	sauce	NN
60	,	,	,
61	and	and	CC
62	liquid	liquid	JJ
63	smoke	smoke	NN
64	flavoring	flavoring	NN
65	and	and	CC
66	whisk	whisk	VB
67	to	to	IN
68	mix	mix	NN
69	.	.	.
70	Drop	Drop	NNP
71	in	in	IN
72	pecans	pecan	NNS
73	and	and	CC
74	stir	stir	NN
75	to	to	IN
76	coat	coat	NN
77	well	well	UH
78	.	.	.
79	Pour	pour	VB
80	coated	coat	VBN
81	pecans	pecan	NNS
82	into	into	IN
83	a	a	DT
84	colander	colander	NN
85	to	to	TO
86	drain	drain	VB
87	off	off	RP
88	extra	extra	JJ
89	egg	egg	NN
90	white	white	JJ
91	mixture	mixture	NN
92	;	;	:
93	return	return	NN
94	to	to	IN
95	bowl	bowl	NN
96	and	and	CC
97	add	add	VB
98	the	the	DT
99	pepper	pepper	NN
100	mixture	mixture	NN
101	.	.	.
102	Stir	stir	VB
103	well	well	RB
104	to	to	IN
105	coat	coat	NN
106	each	each	DT
107	pecan	pecan	NN
108	with	with	IN
109	spices	spice	NNS
110	.	.	.
111	Spread	spread	NN
112	pecans	pecan	NNS
113	in	in	IN
114	prepared	prepared	JJ
115	roasting	roast	VBG
116	pan	pan	NN
117	.	.	.
118	Roast	roast	VB
119	in	in	IN
120	preheated	preheated	JJ
121	oven	oven	NN
122	for	for	IN
123	minutes	minute	NNS
124	and	and	CC
125	stir	stir	NN
126	pecans	pecan	NNS
127	;	;	:
128	roast	roast	VB
129	an	a	DT
130	additional	additional	JJ
131	minutes	minute	NNS
132	and	and	CC
133	stir	stir	VB
134	again	again	RB
135	.	.	.
136	Turn	turn	VB
137	off	off	RP
138	heat	heat	NN
139	and	and	CC
140	roast	roast	NN
141	pecans	pecan	VBZ
142	an	a	DT
143	additional	additional	JJ
144	to	to	IN
145	minutes	minute	NNS
146	until	until	IN
147	pecans	pecan	NNS
148	are	be	VBP
149	lightly	lightly	RB
150	browned	brown	VBN
151	and	and	CC
152	fragrant	fragrant	JJ
153	.	.	.
154	Let	let	VB
155	cool	cool	JJ
156	and	and	CC
157	serve	serve	VB
158	at	at	IN
159	room	room	NN
160	temperature	temperature	NN
161	.	.	.

1	In	in	IN
2	a	a	DT
3	medium	medium	JJ
4	bowl	bowl	NN
5	,	,	,
6	mix	mix	NN
7	ground	ground	NN
8	beef	beef	NN
9	,	,	,
10	onion	onion	NN
11	and	and	CC
12	seasoned	seasoned	JJ
13	bread	bread	NN
14	crumbs	crumb	NNS
15	.	.	.
16	Form	form	NN
17	the	the	DT
18	mixture	mixture	NN
19	into	into	IN
20	bite-sized	bite-sized	JJ
21	balls	ball	NNS
22	.	.	.
23	In	in	IN
24	a	a	DT
25	large	large	JJ
26	skillet	skillet	NN
27	over	over	IN
28	medium	medium	JJ
29	high	high	JJ
30	heat	heat	NN
31	,	,	,
32	cook	cook	VB
33	the	the	DT
34	balls	ball	NNS
35	until	until	IN
36	evenly	evenly	RB
37	brown	brown	JJ
38	throughout	throughout	IN
39	.	.	.
40	In	in	IN
41	a	a	DT
42	large	large	JJ
43	bowl	bowl	NN
44	,	,	,
45	mix	mix	NN
46	water	water	NN
47	,	,	,
48	soy	soy	NN
49	sauce	sauce	NN
50	,	,	,
51	garlic	garlic	NN
52	and	and	CC
53	whiskey	whiskey	NN
54	.	.	.
55	Place	place	VB
56	the	the	DT
57	balls	ball	NNS
58	into	into	IN
59	the	the	DT
60	mixture	mixture	NN
61	.	.	.
62	Cover	cover	NN
63	and	and	CC
64	chill	chill	NN
65	in	in	IN
66	the	the	DT
67	refrigerator	refrigerator	NN
68	at	at	IN
69	least	least	JJS
70	hour	hour	NN
71	.	.	.
72	Transfer	transfer	NN
73	the	the	DT
74	balls	ball	NNS
75	and	and	CC
76	sauce	sauce	NN
77	mixture	mixture	NN
78	to	to	IN
79	a	a	DT
80	slow	slow	JJ
81	cooker	cooker	NN
82	set	set	VBN
83	to	to	IN
84	low	low	JJ
85	heat	heat	NN
86	.	.	.
87	Cook	cook	VB
88	at	at	RB
89	least	least	RBS
90	minutes	minute	NNS
91	before	before	IN
92	serving	serve	VBG
93	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	Spray	spray	VB
12	a	a	DT
13	large	large	JJ
14	roasting	roast	VBG
15	pan	pan	NN
16	with	with	IN
17	non-stick	non-stick	JJ
18	cooking	cooking	NN
19	spray	spray	NN
20	.	.	.
21	In	in	IN
22	a	a	DT
23	medium-size	medium-size	JJ
24	microwave	microwave	NN
25	safe	safe	JJ
26	bowl	bowl	NN
27	,	,	,
28	mix	mix	NN
29	butter	butter	NN
30	,	,	,
31	white	white	JJ
32	corn	corn	NN
33	syrup	syrup	NN
34	and	and	CC
35	brown	brown	JJ
36	sugar	sugar	NN
37	.	.	.
38	Place	place	VB
39	the	the	DT
40	mixture	mixture	NN
41	in	in	IN
42	the	the	DT
43	microwave	microwave	NN
44	and	and	CC
45	cook	cook	VB
46	minutes	minute	NNS
47	,	,	,
48	or	or	CC
49	until	until	IN
50	butter	butter	NN
51	melts	melt	VBZ
52	.	.	.
53	Place	place	VB
54	the	the	DT
55	cereal	cereal	NN
56	,	,	,
57	pecans	pecan	NNS
58	and	and	CC
59	almonds	almond	NNS
60	into	into	IN
61	the	the	DT
62	prepared	prepared	JJ
63	roasting	roast	VBG
64	pan	pan	NN
65	.	.	.
66	Pour	pour	VB
67	the	the	DT
68	melted	melt	VBN
69	butter	butter	NN
70	mixture	mixture	NN
71	over	over	IN
72	the	the	DT
73	cereal	cereal	NN
74	and	and	CC
75	nuts	nut	NNS
76	and	and	CC
77	mix	mix	NN
78	gently	gently	RB
79	until	until	IN
80	the	the	DT
81	cereal	cereal	NN
82	and	and	CC
83	nuts	nut	NNS
84	are	be	VBP
85	coated	coat	VBN
86	.	.	.
87	Bake	bake	VB
88	for	for	IN
89	hour	hour	NN
90	,	,	,
91	stirring	stir	VBG
92	every	every	DT
93	minutes	minute	NNS
94	.	.	,
95	As	as	IN
96	the	the	DT
97	snack	snack	NN
98	mix	mix	NN
99	is	be	VBZ
100	cooling	cool	VBG
101	,	,	,
102	be	be	VB
103	sure	sure	JJ
104	to	to	TO
105	continue	continue	VB
106	to	to	TO
107	stir	stir	VB
108	so	so	IN
109	that	that	IN
110	the	the	DT
111	mix	mix	NN
112	will	will	MD
113	not	not	RB
114	harden	harden	VB
115	in	in	IN
116	one	one	CD
117	big	big	JJ
118	lump	lump	NN
119	.	.	.

1	Preheat	preheat	JJ
2	oven	oven	NN
3	to	to	IN
4	degrees	degree	NNS
5	F	f	NN
6	(	(	-LRB-
7	degrees	degree	NNS
8	C	c	NN
9	)	)	-RRB-
10	.	.	.
11	In	in	IN
12	a	a	DT
13	large	large	JJ
14	bowl	bowl	NN
15	,	,	,
16	toss	toss	VB
17	together	together	RB
18	/	/	HYPH
19	cup	cup	NN
20	breadcrumbs	breadcrumb	NNS
21	,	,	,
22	crab	crab	NN
23	,	,	,
24	shrimp	shrimp	NN
25	,	,	,
26	green	green	JJ
27	onions	onion	NNS
28	,	,	,
29	celery	celery	NN
30	,	,	,
31	mayonnaise	mayonnaise	NN
32	,	,	,
33	Worcestershire	worcestershire	NN
34	sauce	sauce	NN
35	and	and	CC
36	parsley	parsley	NN
37	.	.	.
38	Mix	mix	VB
39	well	well	RB
40	,	,	,
41	and	and	CC
42	spoon	spoon	NN
43	mixture	mixture	NN
44	into	into	IN
45	clean	clean	JJ
46	,	,	,
47	dry	dry	JJ
48	seafood	seafood	NN
49	shells	shell	NNS
50	or	or	CC
51	ramekins	ramekin	NNS
52	.	.	.
53	Place	place	VB
54	stuffed	stuff	VBN
55	shells	shell	NNS
56	on	on	IN
57	a	a	DT
58	foil-lined	foil-lined	JJ
59	cookie	cookie	NN
60	sheet	sheet	NN
61	,	,	,
62	and	and	CC
63	sprinkle	sprinkle	VB
64	with	with	IN
65	remaining	remain	VBG
66	/	/	HYPH
67	cup	cup	NN
68	bread	bread	NN
69	crumbs	crumb	NNS
70	.	.	.
71	Bake	bake	VB
72	in	in	IN
73	the	the	DT
74	preheated	preheated	JJ
75	oven	oven	NN
76	for	for	IN
77	minutes	minute	NNS
78	.	.	.

1	Bring	bring	VB
2	a	a	DT
3	large	large	JJ
4	pot	pot	NN
5	of	of	IN
6	lightly	lightly	RB
7	salted	salt	VBN
8	water	water	NN
9	to	to	IN
10	a	a	DT
11	boil	boil	NN
12	.	.	.
13	Place	place	VB
14	pasta	pasta	NN
15	in	in	IN
16	boiling	boil	VBG
17	water	water	NN
18	and	and	CC
19	cook	cook	VB
20	for	for	IN
21	to	to	IN
22	minutes	minute	NNS
23	or	or	CC
24	until	until	IN
25	al	al	NNP
26	dente	dente	NNP
27	.	.	.
28	Drain	Drain	NNP
29	,	,	,
30	and	and	CC
31	cut	cut	VBD
32	into	into	IN
33	inch	inch	NN
34	pieces	piece	NNS
35	.	.	.
36	In	in	IN
37	a	a	DT
38	mixing	mix	VBG
39	bowl	bowl	NN
40	,	,	,
41	combine	combine	VB
42	crab	crab	NN
43	,	,	,
44	noodles	noodle	NNS
45	,	,	,
46	eggs	egg	NNS
47	,	,	,
48	green	green	JJ
49	onion	onion	NN
50	,	,	,
51	bread	bread	NN
52	crumbs	crumb	NNS
53	,	,	,
54	cilantro	cilantro	NN
55	,	,	,
56	olive	olive	JJ
